time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean
24277,2023,2,184,16291.0,,28.49382883672168,,63.84639428935846,25.227878564077876,41.426041226612405,,
24278,2023,3,184,15072.0,,37.155447288904725,,71.45919888923741,30.435157692302827,54.50302869099498,,
24279,2023,4,184,13972.0,,19.995747863683256,,57.66348782257885,15.183727671270786,24.857149824816656,,
24280,2023,5,184,15015.0,,20.78726966818531,,62.5345696635383,16.963089894989263,27.982874408990178,,
24281,2023,6,184,13978.0,,30.658589222687375,,62.80737876017176,23.29053044319153,37.13804140891475,,
24282,2023,7,184,15509.0,,18.377498999594476,,62.133431426746746,15.490034346995147,22.89487952286251,,
24283,2023,8,184,15248.0,,19.269929257107183,,62.10342213402862,15.968906593063604,28.66585303693711,,
24284,2023,9,184,15517.0,,21.743105692739622,,68.3686130690787,18.336291904034823,32.36850867884253,,
24285,2023,10,184,17595.0,,20.995681167292506,,67.41032726592302,20.07712011622346,32.40597407584843,,
24286,2023,11,184,17047.0,,31.236942099596238,,72.435993864155,28.94000825933788,51.45780602380017,,
24287,2023,12,184,22377.0,,26.76777169697725,,70.09683573383434,32.553392786046736,117.97583270455537,,
24288,2024,1,176,15053.0,,37.82232536284747,,91.47904856642538,32.34883316403086,79.33972634658824,,
24289,2024,2,176,10004.0,,34.17478003462807,,94.35304148134215,19.425255651501093,37.640537779032854,,
24290,2024,3,176,16751.0,,29.09893808660347,,90.3103347633354,27.69524499367584,55.26526843960983,,
24291,2024,4,176,12136.0,,29.934582660366377,,89.42259703419873,20.641255407170817,34.95572126022163,,
24292,2024,5,176,16078.0,,28.89921430005765,,60.58814378506465,26.400089063427664,50.09614750400937,,
24293,2024,6,176,12787.0,,24.725322689081157,,54.53352451181958,17.9637898423455,28.304323710281455,,
24294,2024,7,176,15121.0,,20.49447894293467,,50.77677410983363,17.607785005461086,25.53104164001118,,
24295,2024,8,176,19165.0,,28.5247387352358,,50.75970816850324,31.0611714693633,50.34691103971793,,
24296,2024,9,176,21348.0,,26.27378862650626,,52.05366341990737,31.86891134083271,57.386473231980325,,
24297,2024,10,176,24947.0,,18.244743047078043,,40.94741707866766,25.86088663610545,53.118499040866304,,
