time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_p90,wmape_wmean,wmape_std,wmape_p50,n_folds,wmape_mean,wmape_p10
,,1,,,,,,,,,,,37.82232536284747,37.82232536284748,0.0,37.82232536284747,1,37.82232536284747,37.82232536284747
,,2,,,,,,,,,,,33.60668491483743,30.65516124911398,4.01703911562945,31.334304435674873,2,31.334304435674873,29.06192395651232
,,3,,,,,,,,,,,36.3497963686746,32.914659630678024,5.6968122896390385,33.127192687754096,2,33.127192687754096,29.904589006833596
,,4,,,,,,,,,,,28.940699180698065,24.61569956785617,7.027817481827456,24.96516526202482,2,24.96516526202482,20.98963134335157
,,5,,,,,,,,,,,28.088019836870416,24.98190658939727,5.736011057806744,24.84324198412148,2,24.84324198412148,21.598464131372545
,,6,,,,,,,,,,,30.06526256932675,27.823966425555945,4.195453000500158,27.691955955884268,2,27.691955955884268,25.31864934244178
,,7,,,,,,,,,,,20.282780948600653,19.422580740477503,1.4969308735717644,19.43598897126457,2,19.43598897126457,18.589196993928496
,,8,,,,,,,,,,,27.59925778742294,24.424040309568024,6.544138540574279,23.89733399617149,2,23.89733399617149,20.195410204920044
,,9,,,,,,,,,,,25.820720333129596,24.366760087695546,3.2036766258725513,24.00844715962294,2,24.00844715962294,22.196173986116285
,,10,,,,,,,,,,,20.720587355271057,19.38250705030247,1.9452069994282213,19.620212107185274,2,19.620212107185274,18.51983685909949
,,11,,,,,,,,,,,31.236942099596238,31.236942099596234,0.0,31.236942099596238,1,31.236942099596238,31.236942099596238
,,12,,,,,,,,,,,26.76777169697725,26.76777169697725,0.0,26.76777169697725,1,26.76777169697725,26.76777169697725
