time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_p10,n_folds,wmape_p90,wmape_std,wmape_mean,wmape_p50,wmape_wmean
,,1,,,,,,,,,,,31.30661406546688,1,31.30661406546688,0.0,31.30661406546688,31.30661406546688,31.30661406546688
,,2,,,,,,,,,,,31.83034789609503,1,31.83034789609503,0.0,31.83034789609503,31.83034789609503,31.83034789609503
,,3,,,,,,,,,,,26.88657955710207,1,26.88657955710207,0.0,26.88657955710207,26.88657955710207,26.88657955710207
,,4,,,,,,,,,,,31.886017257532334,1,31.886017257532334,0.0,31.886017257532334,31.886017257532334,31.886017257532338
,,5,,,,,,,,,,,30.78993111895285,1,30.78993111895285,0.0,30.78993111895285,30.78993111895285,30.78993111895285
,,6,,,,,,,,,,,25.808179829468216,1,25.808179829468216,0.0,25.808179829468216,25.808179829468216,25.808179829468216
,,7,,,,,,,,,,,18.659653883157095,1,18.659653883157095,0.0,18.659653883157095,18.659653883157095,18.659653883157095
,,8,,,,,,,,,,,24.130176812563274,1,24.130176812563274,0.0,24.130176812563274,24.130176812563274,24.130176812563274
,,9,,,,,,,,,,,20.18925968529487,1,20.18925968529487,0.0,20.18925968529487,20.18925968529487,20.18925968529487
,,10,,,,,,,,,,,13.892877582813162,1,13.892877582813162,0.0,13.892877582813162,13.892877582813162,13.892877582813162
,,11,,,,,,,,,,,27.064457976789008,1,27.064457976789008,0.0,27.064457976789008,27.064457976789008,27.064457976789008
,,12,,,,,,,,,,,27.27680748250459,1,27.27680748250459,0.0,27.27680748250459,27.27680748250459,27.27680748250459
