time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse
24286,2023,11,184,17047.0,27.5842564533566,72.27008366638863,25.55591411741141,46.282279569229594
24287,2023,12,184,22377.0,29.05772286741707,75.52028368822478,35.33829698935825,127.56533721595113
24288,2024,1,176,15053.0,47.27384445026745,93.25080266694218,40.43256707442477,77.36605680268329
24289,2024,2,176,10004.0,30.907052208445062,26.54325656128908,17.567849448482068,29.78761413415472
24290,2024,3,176,16751.0,29.979868424471,36.77981275035305,28.533680453313284,52.63418122016583
24291,2024,4,176,12136.0,31.622931430166485,31.95794620722622,21.805448627073886,42.160404683745334
24292,2024,5,176,16078.0,35.220261987192636,84.07267730986128,32.17450978580018,54.16372416496224
24293,2024,6,176,12787.0,38.67811969222533,86.42912528287174,28.100972528663934,43.02746641133309
24294,2024,7,176,15121.0,30.890263821266682,79.77244512514238,26.539299956896226,43.05353676498651
24295,2024,8,176,19165.0,37.34196984230383,87.57481999876963,40.662434774304145,64.00713694848548
24296,2024,9,176,21348.0,29.37674254008748,78.2415193056158,35.63265339464702,64.9359408396478
24297,2024,10,176,24947.0,27.392459924344987,83.49340830241431,38.82725555299059,65.6550416619864
