time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse,wmape_mean,wmape_p10,n_folds,wmape_p90,wmape_p50,wmape_std
,,1,,,,,,,46.74400042808606,46.74400042808606,1,46.74400042808606,46.74400042808606,0.0
,,2,,,,,,,31.171637154480912,31.171637154480912,1,31.171637154480912,31.171637154480912,0.0
,,3,,,,,,,29.971612876105514,29.971612876105514,1,29.971612876105514,29.971612876105514,0.0
,,4,,,,,,,30.351622316090975,30.351622316090975,1,30.351622316090975,30.351622316090975,0.0
,,5,,,,,,,37.80166256439668,37.80166256439668,1,37.80166256439668,37.80166256439668,0.0
,,6,,,,,,,38.01717719593432,38.01717719593432,1,38.01717719593432,38.01717719593432,0.0
,,7,,,,,,,30.218033054267146,30.218033054267146,1,30.218033054267146,30.218033054267146,0.0
,,8,,,,,,,35.729231931661666,35.729231931661666,1,35.729231931661666,35.729231931661666,0.0
,,9,,,,,,,29.35544656224848,29.35544656224848,1,29.35544656224848,29.35544656224848,0.0
,,10,,,,,,,28.484446916377564,28.484446916377564,1,28.484446916377564,28.484446916377564,0.0
,,11,,,,,,,28.51376776576302,28.51376776576302,1,28.51376776576302,28.51376776576302,0.0
,,12,,,,,,,30.167080164366133,30.167080164366133,1,30.167080164366133,30.167080164366133,0.0
