time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse
24286,2023,11,184,17047.0,26.896970920784096,71.13048779506089,24.919166482967743,44.90695576887952
24287,2023,12,184,22377.0,30.462846736348265,77.53809821161035,37.04712616409049,135.67593529606873
24288,2024,1,176,15053.0,49.702038839094165,95.86487119377018,42.50936310482298,76.9174695414972
24289,2024,2,176,10004.0,37.03809488604236,27.726475027707288,21.05278984317999,35.97948488028305
24290,2024,3,176,16751.0,29.843089731025845,47.72858083091693,28.403499777523518,57.18569394045604
24291,2024,4,176,12136.0,29.786093987971697,32.181321496530266,20.538865718069573,38.11618693143721
24292,2024,5,176,16078.0,37.168968352505836,86.74191271373203,33.95469733929482,57.749821937923414
24293,2024,6,176,12787.0,36.13049093385378,88.48371893537553,26.25003338472661,38.43149260034607
24294,2024,7,176,15121.0,31.458292242604845,81.55267746675318,27.02732028411522,44.65089084069289
24295,2024,8,176,19165.0,36.799309710403975,87.34322023075329,40.07152105681205,63.322496649002424
24296,2024,9,176,21348.0,30.40392879270112,80.16863055260195,36.87858362878315,69.09149742817485
24297,2024,10,176,24947.0,27.189198664906627,82.96850007436203,38.53914426667191,66.47485768237604
