time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse,wmape_mean,wmape_p10,n_folds,wmape_p90,wmape_p50,wmape_std
,,1,,,,,,,43.90280424176108,43.90280424176108,1,43.90280424176108,43.90280424176108,0.0
,,2,,,,,,,27.825579670009155,27.825579670009155,1,27.825579670009155,27.825579670009155,0.0
,,3,,,,,,,32.60514456781812,32.60514456781812,1,32.60514456781812,32.60514456781812,0.0
,,4,,,,,,,29.602804679079437,29.602804679079437,1,29.602804679079437,29.602804679079437,0.0
,,5,,,,,,,35.93285176581865,35.93285176581865,1,35.93285176581865,35.93285176581865,0.0
,,6,,,,,,,35.60908411891221,35.60908411891221,1,35.60908411891221,35.60908411891221,0.0
,,7,,,,,,,28.787313125393045,28.787313125393045,1,28.787313125393045,28.787313125393045,0.0
,,8,,,,,,,37.661682222697486,37.661682222697486,1,37.661682222697486,37.661682222697486,0.0
,,9,,,,,,,30.50071568436422,30.50071568436422,1,30.50071568436422,30.50071568436422,0.0
,,10,,,,,,,29.123531062487416,29.123531062487416,1,29.123531062487416,29.123531062487416,0.0
,,11,,,,,,,28.70836239005921,28.70836239005921,1,28.70836239005921,28.70836239005921,0.0
,,12,,,,,,,30.417768347382996,30.417768347382996,1,30.417768347382996,30.417768347382996,0.0
