time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse
24286,2023,11,184,17047.0,27.87739865422912,70.30165846286793,25.82750080753499,47.62499497403377
24287,2023,12,184,22377.0,31.120244574529842,70.82997413621756,37.846614828492086,133.52066335184256
24288,2024,1,176,15053.0,43.74717657768702,92.9087826394628,37.416264149086516,71.2524152596521
24289,2024,2,176,10004.0,30.426014465366393,24.726787513538582,17.29442322224576,29.275460883076178
24290,2024,3,176,16751.0,31.920814900013937,32.53529824833531,30.38099831762122,59.48773250442969
24291,2024,4,176,12136.0,29.037640720784342,29.846824156974666,20.02277316974084,36.1150643850218
24292,2024,5,176,16078.0,36.82455417243819,84.00478927639304,33.64006715820802,58.340158377800236
24293,2024,6,176,12787.0,36.00878333279149,81.7833972585322,26.16160866343209,38.948690340409
24294,2024,7,176,15121.0,29.206770910206036,77.67327342932529,25.09293084847872,42.02743612040972
24295,2024,8,176,19165.0,37.8300236240054,87.50899029318295,41.19388652011724,64.83466017895064
24296,2024,9,176,21348.0,31.377666490442767,78.03054144612744,38.05968319533933,70.0846662378019
24297,2024,10,176,24947.0,29.615777401018107,82.62334453235532,41.978681751318106,72.98075937411465
