protocol,fold,time_key,year,month,dealer_code,n_test,sum_abs_y,wmape,smape,mae,rmse,y_true,y_pred
rolling_origin,,24276,2023,1,,184,8550.0,79.5471212751882,81.71966563972188,36.96347211428582,61.65671539997328,,
rolling_origin,,24277,2023,2,,184,16291.0,43.37381921993683,65.77966203139238,38.40233091912994,59.206628925030905,,
rolling_origin,,24278,2023,3,,184,15072.0,19.98029977208962,52.24245142331077,16.36647163939863,29.435037983324335,,
rolling_origin,,24279,2023,4,,184,13972.0,17.843244523640497,50.202449808644836,13.549228939364404,22.221171088868125,,
rolling_origin,,24280,2023,5,,184,15015.0,21.88196445575158,58.41866550487684,17.856396538212497,30.225174262509068,,
rolling_origin,,24281,2023,6,,184,13978.0,25.84256866140161,64.9249323013776,19.631925258101724,32.92934149185888,,
rolling_origin,,24282,2023,7,,184,15509.0,20.688287512265838,63.179568805712286,17.437752773246242,26.222268611456954,,
rolling_origin,,24283,2023,8,,184,15248.0,19.042752973390435,62.345960501563816,15.78064659447051,27.095032122034436,,
rolling_origin,,24284,2023,9,,184,15517.0,21.370906207513652,64.80412061177199,18.02241041423855,33.21445022788911,,
rolling_origin,,24285,2023,10,,184,17595.0,21.273401209649457,66.49938253721646,20.34268990672729,33.00473781641411,,
rolling_origin,,24286,2023,11,,184,17047.0,28.47037502280103,68.83494076650204,26.376874076830934,48.252697908745255,,
rolling_origin,,24287,2023,12,,184,22377.0,29.215257067895855,76.60354762806733,35.52988083740791,127.36109717751316,,
rolling_origin,,24288,2024,1,,176,15053.0,49.49912877883402,93.97432555082852,42.33581735839707,75.35911916420406,,
rolling_origin,,24289,2024,2,,176,10004.0,31.98972445021015,28.01186787136204,18.183250193176267,30.59444390654347,,
rolling_origin,,24290,2024,3,,176,16751.0,29.404859319206732,45.70504862127203,27.986409003183635,53.20953844728314,,
rolling_origin,,24291,2024,4,,176,12136.0,28.58788009644221,28.8969480488875,19.712642775592197,37.23997736266348,,
rolling_origin,,24292,2024,5,,176,16078.0,35.20973374518284,85.27814952740724,32.164891997446006,54.85178829905052,,
rolling_origin,,24293,2024,6,,176,12787.0,37.57641218471862,82.32430950469985,27.300544466249832,39.84233171154397,,
rolling_origin,,24294,2024,7,,176,15121.0,29.95384738445469,80.41208981179527,25.734779903428375,42.303854569424985,,
rolling_origin,,24295,2024,8,,176,19165.0,37.37847224765222,86.5312852579252,40.70218299012811,64.52705829943173,,
rolling_origin,,24296,2024,9,,176,21348.0,29.950529308321745,80.37161391667752,36.32863066329844,67.19768140984267,,
rolling_origin,,24297,2024,10,,176,24947.0,29.05470673283721,85.18201294449156,41.18339595818693,69.2106603824355,,
