time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse,wmape_p50,n_folds,wmape_p90,wmape_std,wmape_p10,wmape_mean
,,1,,,,,,,46.16218262339908,1,46.16218262339908,0.0,46.16218262339908,46.16218262339908
,,2,,,,,,,29.7679539824025,1,29.7679539824025,0.0,29.7679539824025,29.7679539824025
,,3,,,,,,,29.85835956367961,1,29.85835956367961,0.0,29.85835956367961,29.85835956367961
,,4,,,,,,,31.278125048155392,1,31.278125048155392,0.0,31.278125048155392,31.278125048155392
,,5,,,,,,,35.638851490006004,1,35.638851490006004,0.0,35.638851490006004,35.638851490006004
,,6,,,,,,,39.99415021093047,1,39.99415021093047,0.0,39.99415021093047,39.99415021093047
,,7,,,,,,,30.490184092983004,1,30.490184092983004,0.0,30.490184092983004,30.490184092983004
,,8,,,,,,,36.77807586051395,1,36.77807586051395,0.0,36.77807586051395,36.77807586051395
,,9,,,,,,,30.16879610427438,1,30.16879610427438,0.0,30.16879610427438,30.16879610427438
,,10,,,,,,,28.61363485541966,1,28.61363485541966,0.0,28.61363485541966,28.61363485541966
,,11,,,,,,,27.974474383097665,1,27.974474383097665,0.0,27.974474383097665,27.974474383097665
,,12,,,,,,,28.347543041446084,1,28.347543041446084,0.0,28.347543041446084,28.347543041446084
