time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse
24286,2023,11,184,17047.0,26.357049312237685,68.23435351186868,24.418946718788902,45.120593595314745
24287,2023,12,184,22377.0,28.14708081859052,76.0299630924725,34.23082758030435,123.92340910335551
24288,2024,1,176,15053.0,46.859735433542546,93.78543271013282,40.07838622051795,71.03782277516
24289,2024,2,176,10004.0,28.091345966907195,25.152561996909473,15.967376423462476,28.280118862144782
24290,2024,3,176,16751.0,30.339702756879856,28.11524507069503,28.87615686820991,55.89048630924885
24291,2024,4,176,12136.0,31.213369048503754,30.872091526811463,21.52303674844554,40.66598208556207
24292,2024,5,176,16078.0,35.26953243744922,84.45299529276774,32.21951946189253,53.81835595577468
24293,2024,6,176,12787.0,38.96745945446692,83.97617833581076,28.31118772978798,42.75535068542646
24294,2024,7,176,15121.0,30.07302101383212,79.78851056055095,25.83716765625883,42.436316963359005
24295,2024,8,176,19165.0,37.35559947288211,87.30538539697955,40.67727635782873,64.23476355428566
24296,2024,9,176,21348.0,28.677513272090938,78.99621505382623,34.784520075715754,63.082334215804664
24297,2024,10,176,24947.0,27.619103472949153,83.81710461896571,39.14850990566264,67.31656311255912
