time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse,wmape_mean,wmape_p10,n_folds,wmape_p90,wmape_p50,wmape_std
,,1,,,,,,,46.46479225244928,46.46479225244928,1,46.46479225244928,46.46479225244928,0.0
,,2,,,,,,,35.68209901390784,35.68209901390784,1,35.68209901390784,35.68209901390784,0.0
,,3,,,,,,,31.90525604025903,31.90525604025903,1,31.90525604025903,31.90525604025903,0.0
,,4,,,,,,,27.84673714354397,27.84673714354397,1,27.84673714354397,27.84673714354397,0.0
,,5,,,,,,,36.50504603066802,36.50504603066802,1,36.50504603066802,36.50504603066802,0.0
,,6,,,,,,,35.408868974614684,35.408868974614684,1,35.408868974614684,35.408868974614684,0.0
,,7,,,,,,,29.409153153455424,29.409153153455424,1,29.409153153455424,29.409153153455424,0.0
,,8,,,,,,,38.02603944889505,38.02603944889505,1,38.02603944889505,38.02603944889505,0.0
,,9,,,,,,,30.518986089640094,30.518986089640094,1,30.518986089640094,30.518986089640094,0.0
,,10,,,,,,,28.395371574270946,28.395371574270946,1,28.395371574270946,28.395371574270946,0.0
,,11,,,,,,,27.95939004830947,27.95939004830947,1,27.95939004830947,27.95939004830947,0.0
,,12,,,,,,,31.328065392601832,31.328065392601832,1,31.328065392601832,31.328065392601832,0.0
