tag,source,score,wmape_weighted,peak_std_11_12,dec_mean,n_folds,xgb_params
random_065,random,32.93926338602003,32.26256217852391,0.6767012074961205,28.653933798454258,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.042419101753186264, ""n_estimators"": 2900, ""max_depth"": 4, ""min_child_weight"": 3, ""subsample"": 0.7405778930417171, ""colsample_bytree"": 0.8017556120432754, ""reg_lambda"": 0.3217623111720225, ""reg_alpha"": 0.016337590340334315, ""gamma"": 2.10342933701168}"
optuna_072,optuna,32.984744076922844,32.234635567331445,0.7501085095913986,29.505431083745755,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.13658620880886177, ""n_estimators"": 2900, ""max_depth"": 4, ""min_child_weight"": 7, ""subsample"": 0.9735615880014616, ""colsample_bytree"": 0.6039106203340827, ""reg_lambda"": 9.231305002744824, ""reg_alpha"": 3.1027812361440237, ""gamma"": 2.071605336230283}"
random_026,random,33.00078991374582,32.14995002779394,0.8508398859518744,28.637822812888373,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.030201637521694878, ""n_estimators"": 2900, ""max_depth"": 3, ""min_child_weight"": 6, ""subsample"": 0.9294779301383035, ""colsample_bytree"": 0.6794868646792297, ""reg_lambda"": 0.13144406752965293, ""reg_alpha"": 1.9009354740193245, ""gamma"": 2.330498431972522}"
optuna_087,optuna,33.01305336591338,32.71018446401731,0.30286890189606863,29.621863836865103,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.10380754722179576, ""n_estimators"": 2900, ""max_depth"": 4, ""min_child_weight"": 8, ""subsample"": 0.9643360495114998, ""colsample_bytree"": 0.6938002083584149, ""reg_lambda"": 2.496156386580892, ""reg_alpha"": 1.1531076870372146, ""gamma"": 2.3987182849644557}"
optuna_092,optuna,33.0364686226811,33.033259604075624,0.003209018605472665,28.581083478259888,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.10266668779183302, ""n_estimators"": 2900, ""max_depth"": 4, ""min_child_weight"": 8, ""subsample"": 0.933516823595415, ""colsample_bytree"": 0.7521529236336171, ""reg_lambda"": 6.918655971668475, ""reg_alpha"": 1.9282760831250403, ""gamma"": 1.7901723257359343}"
random_046,random,33.10822523819527,32.73189627391912,0.3763289642761486,30.53862983776613,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.010871715916442336, ""n_estimators"": 2900, ""max_depth"": 8, ""min_child_weight"": 8, ""subsample"": 0.9163960987985644, ""colsample_bytree"": 0.9979784645446867, ""reg_lambda"": 0.7176402242558759, ""reg_alpha"": 3.9319207801520575, ""gamma"": 1.4154942122266887}"
optuna_039,optuna,33.11964516821146,32.45499320593559,0.6646519622758784,29.193170506347503,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.059692544132057546, ""n_estimators"": 2900, ""max_depth"": 4, ""min_child_weight"": 15, ""subsample"": 0.8953933767853973, ""colsample_bytree"": 0.9919381085597446, ""reg_lambda"": 0.11549365741028277, ""reg_alpha"": 0.0013046597568755617, ""gamma"": 1.0401158108139157}"
optuna_097,optuna,33.12595550422389,32.59046081233903,0.5354946918848542,29.1832892722972,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.0839198513774017, ""n_estimators"": 2900, ""max_depth"": 4, ""min_child_weight"": 10, ""subsample"": 0.9689775482527909, ""colsample_bytree"": 0.7567147226729338, ""reg_lambda"": 8.646234644975307, ""reg_alpha"": 3.7230479394876284, ""gamma"": 1.5130383870046034}"
optuna_076,optuna,33.149237194185,32.76488472451635,0.3843524696686502,28.45357528709087,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.13735362346567329, ""n_estimators"": 2900, ""max_depth"": 4, ""min_child_weight"": 6, ""subsample"": 0.9974050128147429, ""colsample_bytree"": 0.7198220426666981, ""reg_lambda"": 6.675247026053955, ""reg_alpha"": 0.12652759011412673, ""gamma"": 2.1246800282197067}"
random_028,random,33.159131302884404,32.5341810621274,0.6249502407570046,29.07128550454583,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.013126507280289282, ""n_estimators"": 2900, ""max_depth"": 5, ""min_child_weight"": 9, ""subsample"": 0.9582755432719667, ""colsample_bytree"": 0.8130157261919109, ""reg_lambda"": 3.252974177946075, ""reg_alpha"": 0.001666066060853502, ""gamma"": 2.2709141887461746}"
optuna_023,optuna,33.16913750147899,32.51491436195701,0.6542231395219786,29.08370835241158,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.09706837300415602, ""n_estimators"": 2900, ""max_depth"": 4, ""min_child_weight"": 12, ""subsample"": 0.7879259337101081, ""colsample_bytree"": 0.7397775078853439, ""reg_lambda"": 0.06162978657499875, ""reg_alpha"": 0.010481810072965008, ""gamma"": 2.53772307757257}"
random_048,random,33.18654888224471,32.82605602121335,0.36049286103136374,29.78147747767875,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.06385819491491607, ""n_estimators"": 2900, ""max_depth"": 4, ""min_child_weight"": 9, ""subsample"": 0.8890213251821995, ""colsample_bytree"": 0.987425042811451, ""reg_lambda"": 0.6580731295141781, ""reg_alpha"": 0.001716725447905042, ""gamma"": 0.1924580741607671}"
random_022,random,33.19204500046326,32.39458895667791,0.7974560437853517,28.91368753773792,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.1016345001336413, ""n_estimators"": 2900, ""max_depth"": 3, ""min_child_weight"": 7, ""subsample"": 0.9477965486951024, ""colsample_bytree"": 0.8238131282168256, ""reg_lambda"": 0.015309469142743868, ""reg_alpha"": 0.00012586652350685365, ""gamma"": 1.8413707636544239}"
