time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse,wmape_p50,n_folds,wmape_p90,wmape_std,wmape_p10,wmape_mean
,,1,,,,,,,46.034956249750145,1,46.034956249750145,0.0,46.034956249750145,46.034956249750145
,,2,,,,,,,33.55487468034467,1,33.55487468034467,0.0,33.55487468034467,33.55487468034467
,,3,,,,,,,29.535482264832417,1,29.535482264832417,0.0,29.535482264832417,29.535482264832417
,,4,,,,,,,31.37779287919289,1,31.37779287919289,0.0,31.37779287919289,31.37779287919289
,,5,,,,,,,34.68146354068491,1,34.68146354068491,0.0,34.68146354068491,34.68146354068491
,,6,,,,,,,35.70481737602755,1,35.70481737602755,0.0,35.70481737602755,35.70481737602755
,,7,,,,,,,29.700100662007916,1,29.700100662007916,0.0,29.700100662007916,29.700100662007916
,,8,,,,,,,38.79870962114023,1,38.79870962114023,0.0,38.79870962114023,38.79870962114023
,,9,,,,,,,30.659155636470476,1,30.659155636470476,0.0,30.659155636470476,30.659155636470476
,,10,,,,,,,29.129555203238993,1,29.129555203238993,0.0,29.129555203238993,29.129555203238993
,,11,,,,,,,26.580057443560413,1,26.580057443560413,0.0,26.580057443560413,26.580057443560413
,,12,,,,,,,29.535385208840616,1,29.535385208840616,0.0,29.535385208840616,29.535385208840616
