time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,n_folds,wmape_p10,wmape_p90,wmape_mean,wmape_p50,wmape_std,wmape_wmean
,,1,,,,,,,,,,,1,33.84233161610067,33.84233161610067,33.84233161610067,33.84233161610067,0.0,33.84233161610067
,,2,,,,,,,,,,,2,27.4544474697067,29.82580258065868,28.64012502518269,28.64012502518269,2.0960015994444046,28.994486823589117
,,3,,,,,,,,,,,2,31.442781005517453,38.46742682444825,34.95510391498286,34.95510391498286,6.208968367499625,34.72346366402473
,,4,,,,,,,,,,,2,20.498764207031975,27.608398387304796,24.053581297168385,24.053581297168385,6.2840881757832205,23.741098333254524
,,5,,,,,,,,,,,2,19.040562197015227,27.924862211708334,23.482712204361782,23.482712204361782,7.85268598310655,23.67254614840905
,,6,,,,,,,,,,,2,25.69563074809305,28.5822310079524,27.138930878022727,27.138930878022727,2.551418272901745,27.21921158298939
,,7,,,,,,,,,,,2,16.672314983739458,16.734220822420692,16.703267903080075,16.703267903080075,0.054717547908177656,16.70277778992695
,,8,,,,,,,,,,,2,18.884345504026772,29.580751849010813,24.232548676518793,24.232548676518793,9.454376826081287,24.993486106656068
,,9,,,,,,,,,,,2,21.35202811456377,25.6543524198837,23.503190267223736,23.503190267223736,3.802753363944282,23.92850650593797
,,10,,,,,,,,,,,2,20.540107214352357,21.039481321774495,20.789794268063424,20.789794268063424,0.44138852213396484,20.73585641785411
,,11,,,,,,,,,,,1,31.62929449924977,31.62929449924977,31.62929449924977,31.62929449924977,0.0,31.629294499249774
,,12,,,,,,,,,,,1,30.440501244655042,30.440501244655042,30.440501244655042,30.440501244655042,0.0,30.440501244655042
