time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,n_folds,wmape_std,wmape_p90,wmape_mean,wmape_p10,wmape_wmean,wmape_p50
,,1,,,,,,,,,,,1,0.0,46.55737489479717,46.55737489479717,46.55737489479717,46.55737489479717,46.55737489479717
,,2,,,,,,,,,,,2,11.760640232179535,47.97672917434855,41.32390640693296,34.67108363951738,39.33558653914718,41.32390640693296
,,3,,,,,,,,,,,2,2.2426083000944703,35.035216945831905,33.76660611659828,32.49799528736465,33.85027192365148,33.76660611659828
,,4,,,,,,,,,,,2,5.544729037038914,35.023945149418594,31.887372747872853,28.750800346327118,31.61165520299973,31.887372747872853
,,5,,,,,,,,,,,2,2.9482308438343594,30.319166023635674,28.65139480589278,26.98362358814989,28.72266650709807,28.65139480589278
,,6,,,,,,,,,,,2,0.05873803797169086,37.49137399471073,37.45814674274003,37.42491949076932,37.459994942679174,37.45814674274003
,,7,,,,,,,,,,,2,1.1954064896114551,25.732550214495813,25.05632618643288,24.38010215836995,25.045618754059046,25.05632618643288
,,8,,,,,,,,,,,2,7.17780810746342,33.311716407470634,29.251334977996102,25.19095354852157,29.829042314585898,29.251334977996102
,,9,,,,,,,,,,,2,0.611753513373578,29.68409990847041,29.338039862293492,28.991979816116572,29.269618726756473,29.338039862293492
,,10,,,,,,,,,,,2,2.2871989910210466,24.450671885898192,23.15683675271898,21.863001619539773,22.877340140572937,23.15683675271898
,,11,,,,,,,,,,,1,0.0,34.56154485010937,34.56154485010937,34.56154485010937,34.56154485010937,34.56154485010937
,,12,,,,,,,,,,,1,0.0,33.01326198350298,33.01326198350298,33.01326198350298,33.01326198350298,33.01326198350298
