iter,tune_metric,tune_score,wmape_weighted,peak_std_11_12,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,n_estimators
38,wmape_only,23.89099574350078,23.89099574350078,inf,0.03390718449632113,5,15,0.7160777807848903,0.7664499712759782,0.00030839860604274657,1.5066517714459147,2.372849229348899,2900
3,wmape_only,23.93892577338681,23.93892577338681,inf,0.013936878773257578,6,14,0.9136870821674049,0.8623717724013535,0.0012953943598350414,0.016051338499677947,1.9259540937442177,2900
71,wmape_only,24.026789520444293,24.026789520444293,inf,0.05397087041800055,6,14,0.7925667985671303,0.9641258984402655,2.242703732839393,2.606086108532602,2.6616038229374963,2900
40,wmape_only,24.092605246938007,24.092605246938007,inf,0.05411526733496175,3,6,0.863488828171507,0.8069924331708692,0.001936004967978628,5.56167700106287,0.07495189467610741,2900
122,wmape_only,24.14510252517574,24.14510252517574,inf,0.021994494216913622,5,11,0.7445352967133795,0.8712934250064692,0.45570586042832534,0.33142994163827094,1.6538000412793323,2900
120,wmape_only,24.22667338128535,24.22667338128535,inf,0.03642722714372222,4,7,0.8372011578627723,0.6240167559908139,0.0001689176609228158,0.8267087688486545,2.7732678646651046,2900
102,wmape_only,24.231915848332594,24.231915848332594,inf,0.02430550106363738,4,9,0.8383060813409372,0.9687469299264899,0.004884432946528997,0.5565563756710274,2.4027820421676678,2900
28,wmape_only,24.250507716118943,24.250507716118943,inf,0.013126507280289282,5,9,0.9582755432719667,0.8130157261919109,0.001666066060853502,3.252974177946075,2.2709141887461746,2900
91,wmape_only,24.292535177591656,24.292535177591656,inf,0.02645515235887198,6,14,0.9217701764814163,0.6337635794740233,0.00015730533591582947,0.012974067534741078,2.848282534722922,2900
126,wmape_only,24.293750578712224,24.293750578712224,inf,0.020885081118565553,4,8,0.7753363620124971,0.8932162590214043,0.9168808705236862,0.03307260879469595,2.153599267285744,2900
18,wmape_only,24.313638899788423,24.313638899788423,inf,0.011370508576994488,5,12,0.6963104598362527,0.6750536364443369,0.1683910144810357,9.974272432104485,1.6642544660794334,2900
97,wmape_only,24.325920553791242,24.325920553791242,inf,0.03728467718237256,8,15,0.9444172514703106,0.7661567930302384,0.27427485472920643,0.03976884049281348,1.5613454435053349,2900
48,wmape_only,24.328840376224626,24.328840376224626,inf,0.06385819491491607,4,9,0.8890213251821995,0.987425042811451,0.001716725447905042,0.6580731295141781,0.1924580741607671,2900
117,wmape_only,24.346466434283293,24.346466434283293,inf,0.01490393841066206,6,12,0.7392877685864907,0.9030042247657539,0.04088189034823621,0.04728006080527445,2.22215411182235,2900
41,wmape_only,24.370510519961687,24.370510519961687,inf,0.06670965415969039,4,8,0.7233137596310673,0.8585288400421404,1.7889963740207073,0.022170908900395785,1.9114228213901172,2900
95,wmape_only,24.37428693658489,24.37428693658489,inf,0.026225183340671154,6,12,0.9599917509449709,0.7588462643170587,0.00023242721788592906,3.2509918221330225,2.306831262655508,2900
111,wmape_only,24.374557784640647,24.374557784640647,inf,0.02194143872642645,7,14,0.8944913932503559,0.8438103581804579,0.024323508645842252,0.017951493043067323,1.1787615820128265,2900
136,wmape_only,24.384858116444363,24.384858116444363,inf,0.023293609695852563,6,15,0.7974127890655542,0.7564707710491836,0.003619893801292112,0.15763875357236778,2.3099398262331885,2900
32,wmape_only,24.41878147214552,24.41878147214552,inf,0.045345112052762225,3,3,0.9709937702422275,0.9439870956037794,4.946038084060412,0.04373678730940313,1.9536358573444943,2900
121,wmape_only,24.4576201580077,24.4576201580077,inf,0.011455109079094368,4,14,0.9507977836036593,0.6820864302714785,1.3092224748884032,0.07346063362991599,2.3560578347750583,2900
24,wmape_only,24.503403983652777,24.503403983652777,inf,0.018022795830553384,3,1,0.8261422487803132,0.8278731267259117,0.5691580178476416,0.014017949232594924,1.2542347428994198,2900
72,wmape_only,24.504313791393432,24.504313791393432,inf,0.017124716659373988,8,13,0.6786328959547053,0.9290523261165026,0.0011572541044866057,0.1495378682771885,1.821008970593252,2900
5,wmape_only,24.50657743816234,24.50657743816234,inf,0.015143727243072284,6,8,0.9648068344792708,0.8527260782141803,0.00835269775262996,0.04193604807348557,0.9102933055098664,2900
