time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse
24286,2023,11,184,17047.0,28.226652145232258,69.07957107520369,26.1510727782486,48.23582464931119
24287,2023,12,184,22377.0,29.41367674739006,75.34508171817531,35.771187205236274,128.88316967544839
24288,2024,1,176,15053.0,46.26660431795584,93.62705734119821,39.57109061353348,77.2689317848409
24289,2024,2,176,10004.0,26.430768936358618,24.230071530010203,15.023489343143842,24.403403807020606
24290,2024,3,176,16751.0,31.332803291562943,31.86583969325321,29.82135158732789,60.528145124848976
24291,2024,4,176,12136.0,30.674703495698353,30.658211430212727,21.151602364988364,38.61586564878719
24292,2024,5,176,16078.0,36.642521026863925,84.37506165903372,33.47377574260899,56.735415920790025
24293,2024,6,176,12787.0,35.636351601395624,80.6364023547274,25.89102431403669,37.94961515834253
24294,2024,7,176,15121.0,29.271698352541513,78.09233232945935,25.14871311299888,42.10972952438159
24295,2024,8,176,19165.0,37.35375746015683,87.57847537980527,40.67527055249464,64.3737226598451
24296,2024,9,176,21348.0,30.493347116580683,79.58094993760528,36.987043991179796,67.74565608897171
24297,2024,10,176,24947.0,28.62821240451617,83.74623155769103,40.57886448042414,69.28515496916424
