time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_p10,n_folds,wmape_mean,wmape_p50,wmape_std,wmape_p90,wmape_wmean
,,1,,,,,,,,,,,46.47264321571187,1,46.47264321571187,46.47264321571187,0.0,46.47264321571187,46.47264321571187
,,2,,,,,,,,,,,35.23994050280563,2,44.20146824937176,44.20146824937176,15.84189259847077,53.16299599593788,41.52314894234279
,,3,,,,,,,,,,,32.34947702250542,2,33.78141632852687,33.78141632852687,2.531334983838327,35.21335563454833,33.875853767439374
,,4,,,,,,,,,,,29.21919623095414,2,32.57107394681752,32.57107394681752,5.925338656487691,35.92295166268091,32.2764301840664
,,5,,,,,,,,,,,27.74479580215549,2,29.196742585500246,29.196742585500246,2.5667035410626857,30.648689368845005,29.258791094436965
,,6,,,,,,,,,,,37.94075457896638,2,38.07782884104116,38.07782884104116,0.24231535059805073,38.214903103115944,38.07020435728761
,,7,,,,,,,,,,,25.25571548994358,2,25.741775434683273,25.741775434683273,0.8592407074714948,26.227835379422967,25.73407908883937
,,8,,,,,,,,,,,25.703542156918953,2,29.758367668338863,29.758367668338863,7.167986539133074,33.81319317975878,30.335284514016067
,,9,,,,,,,,,,,29.758911830054586,2,30.05588487709562,30.05588487709562,0.5249791384808719,30.35285792413666,29.997168959650338
,,10,,,,,,,,,,,22.26385980628746,2,23.56196123898918,23.56196123898918,2.294740814328396,24.8600626716909,23.28154301308234
,,11,,,,,,,,,,,34.84243407601617,1,34.84243407601617,34.84243407601617,0.0,34.84243407601617,34.84243407601617
,,12,,,,,,,,,,,33.04108273926,1,33.04108273926,33.04108273926,0.0,33.04108273926,33.04108273926
