time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse,wmape_mean,wmape_p10,n_folds,wmape_p90,wmape_p50,wmape_std
,,1,,,,,,,46.35154074254654,46.35154074254654,1,46.35154074254654,46.35154074254654,0.0
,,2,,,,,,,30.798160031354133,30.798160031354133,1,30.798160031354133,30.798160031354133,0.0
,,3,,,,,,,28.626256190710407,28.626256190710407,1,28.626256190710407,28.626256190710407,0.0
,,4,,,,,,,31.8574931414419,31.8574931414419,1,31.8574931414419,31.8574931414419,0.0
,,5,,,,,,,35.33885048581712,35.33885048581712,1,35.33885048581712,35.33885048581712,0.0
,,6,,,,,,,37.89316782777142,37.89316782777142,1,37.89316782777142,37.89316782777142,0.0
,,7,,,,,,,30.773098137959128,30.773098137959128,1,30.773098137959128,30.773098137959128,0.0
,,8,,,,,,,37.227136139427216,37.227136139427216,1,37.227136139427216,37.227136139427216,0.0
,,9,,,,,,,29.23384753066146,29.23384753066146,1,29.23384753066146,29.23384753066146,0.0
,,10,,,,,,,27.43411420176145,27.43411420176145,1,27.43411420176145,27.43411420176145,0.0
,,11,,,,,,,27.434553506767255,27.434553506767255,1,27.434553506767255,27.434553506767255,0.0
,,12,,,,,,,28.637822812888373,28.637822812888373,1,28.637822812888373,28.637822812888373,0.0
