experiment,time_key,delta_wmape,wmape_base,wmape_exp,month,sum_abs_y
optuna_best_full,24286,-0.6588258298763918,27.411410213084856,26.752584383208465,11,17047.0
optuna_best_full,24287,-1.555536382884405,26.96955177592384,25.414015393039435,12,22377.0
optuna_best_full,24288,-3.5697122504763783,35.93063122594988,32.3609189754735,1,15053.0
optuna_best_full,24289,-3.4166270483482,30.75879746770492,27.34217041935672,2,10004.0
optuna_best_full,24290,-2.959438627119173,29.88107802190652,26.92163939478735,3,16751.0
optuna_best_full,24291,-1.7064864711197316,32.56017126657266,30.853684795452928,4,12136.0
optuna_best_full,24292,-0.9035088005797505,30.826302742834383,29.922793942254632,5,16078.0
optuna_best_full,24293,-1.0428386179623992,25.89503374513541,24.85219512717301,6,12787.0
optuna_best_full,24294,-0.3502168332292115,19.5082080653405,19.15799123211129,7,15121.0
optuna_best_full,24295,-0.223073972328514,23.91726551711764,23.694191544789128,8,19165.0
optuna_best_full,24296,1.5160908200734013,19.14970205017529,20.66579287024869,9,21348.0
optuna_best_full,24297,-0.08200180044807226,14.792058847513855,14.710057047065783,10,24947.0
