time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse,wmape_mean,wmape_p10,n_folds,wmape_p90,wmape_p50,wmape_std
,,1,,,,,,,44.0582079126906,44.0582079126906,1,44.0582079126906,44.0582079126906,0.0
,,2,,,,,,,32.84666035668658,32.84666035668658,1,32.84666035668658,32.84666035668658,0.0
,,3,,,,,,,31.065387670392347,31.065387670392347,1,31.065387670392347,31.065387670392347,0.0
,,4,,,,,,,28.775020985318555,28.775020985318555,1,28.775020985318555,28.775020985318555,0.0
,,5,,,,,,,36.17501886436181,36.17501886436181,1,36.17501886436181,36.17501886436181,0.0
,,6,,,,,,,35.3178158653644,35.3178158653644,1,35.3178158653644,35.3178158653644,0.0
,,7,,,,,,,28.810337949516235,28.810337949516235,1,28.810337949516235,28.810337949516235,0.0
,,8,,,,,,,37.616133508416574,37.616133508416574,1,37.616133508416574,37.616133508416574,0.0
,,9,,,,,,,30.6315270488629,30.6315270488629,1,30.6315270488629,30.6315270488629,0.0
,,10,,,,,,,27.89234332136551,27.89234332136551,1,27.89234332136551,27.89234332136551,0.0
,,11,,,,,,,27.596721884676985,27.596721884676985,1,27.596721884676985,27.596721884676985,0.0
,,12,,,,,,,30.085771238193367,30.085771238193367,1,30.085771238193367,30.085771238193367,0.0
