time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse
24286,2023,11,184,17047.0,26.986300351429072,70.96291179198901,25.0019272875441,46.989844255159746
24287,2023,12,184,22377.0,29.101544093195876,76.21568968680488,35.391589792035006,134.65121257640106
24288,2024,1,176,15053.0,46.56513762698444,94.10120357015462,39.826421403352086,78.4568356571456
24289,2024,2,176,10004.0,28.891428890472216,25.260850919920742,16.42215083069796,29.141921771845066
24290,2024,3,176,16751.0,29.30566355452665,35.65381385552895,27.89199830692477,57.77837085623438
24291,2024,4,176,12136.0,30.70896169379781,32.975768311977305,21.175224949768765,38.381976347319764
24292,2024,5,176,16078.0,37.79147001962401,85.59848141860552,34.523366759972426,62.55557123004407
24293,2024,6,176,12787.0,38.46291070942816,85.04748202389844,27.944615865991924,40.71860974282125
24294,2024,7,176,15121.0,30.666171691957995,79.57115522457397,26.346771713300953,43.18407081868696
24295,2024,8,176,19165.0,35.5358495142806,84.5029175356269,38.6957134057493,61.18052997472408
24296,2024,9,176,21348.0,27.217789091278625,75.48419263933077,33.01394099548955,61.40197647143386
24297,2024,10,176,24947.0,26.653171414102246,82.68731228681226,37.77935609475049,66.9439114996784
