time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_mean,wmape_p90,wmape_p10,wmape_wmean,wmape_p50,n_folds,wmape_std
,,1,,,,,,,,,,,46.88719757876824,46.88719757876824,46.88719757876824,46.88719757876824,46.88719757876824,1,0.0
,,2,,,,,,,,,,,44.649293559391225,53.72795784380751,35.570629274974934,41.935965818560014,44.649293559391225,2,16.048962699067175
,,3,,,,,,,,,,,34.03998335578896,35.636027974122214,32.44393873745571,34.14524365942869,34.03998335578896,2,2.8214349317493443
,,4,,,,,,,,,,,32.66956607594487,35.91800250467377,29.421129647215977,32.384015225480155,32.66956607594487,2,5.742478567519035
,,5,,,,,,,,,,,29.64018050353014,31.08588833999093,28.194472667069352,29.701962392948893,29.64018050353014,2,2.5556745369398888
,,6,,,,,,,,,,,38.22357856520509,38.506744217294305,37.94041291311588,38.207828037854156,38.22357856520509,2,0.500570881978477
,,7,,,,,,,,,,,25.83451477198936,26.29366295949736,25.375366584481363,25.82724455093349,25.83451477198936,2,0.8116669923910493
,,8,,,,,,,,,,,29.785845088338306,33.74410109135087,25.82758908532574,30.34902211314725,29.785845088338306,2,6.99727415350636
,,9,,,,,,,,,,,30.283808788229656,30.749212736625136,29.81840483983418,30.191791616688423,30.283808788229656,2,0.8227257197535905
,,10,,,,,,,,,,,23.62471139263216,24.975298897977314,22.274123887287008,23.332955030116953,23.62471139263216,2,2.3875239590384534
,,11,,,,,,,,,,,34.74571594795034,34.74571594795034,34.74571594795034,34.74571594795034,34.74571594795034,1,0.0
,,12,,,,,,,,,,,32.912418857977976,32.912418857977976,32.912418857977976,32.912418857977976,32.912418857977976,1,0.0
