trial_number,wmape_weighted,peak_std_11_12,wmape_composite,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma
114,24.101849742427802,0.7283118188444808,24.830161561272284,0.010150665434429315,5,15,0.8984179517061692,0.9085081386743783,0.00034135688957013003,0.34431268556453326,0.34760717857538914
58,24.1898984105219,0.33955694156851274,24.529455352090412,0.013916438390377948,6,14,0.822080324639785,0.8118602313424026,0.12976941336928302,0.10689751565977942,1.5602040635334324
110,24.213506404583082,1.0321617404137735,25.245668144996856,0.014805040254047405,5,15,0.822080324639785,0.8688542189623514,0.12976941336928302,0.010901310805951412,2.1846490458355787
112,24.216418107333723,0.18198604925955023,24.398404156593273,0.028610355700540175,5,10,0.818246715726374,0.6225213102727349,0.00036167777684591846,14.890829217018695,2.716051925868191
70,24.271554910296047,0.8869872979514,25.158542208247447,0.010150665434429315,5,12,0.8916028672163949,0.9085081386743783,0.0002228094453258927,0.34431268556453326,0.34760717857538914
23,24.406171286685673,0.5695369145585129,24.975708201244185,0.020107722993504343,6,13,0.822080324639785,0.8118602313424026,0.0013691677481230521,0.020292475449070563,2.69164727385998
50,24.431792453779686,0.0904357646443719,24.522228218424058,0.01019005058575656,6,11,0.6888431241882921,0.8048372233197124,0.0011595696872206103,1.3481391894993757,0.9696087960622657
149,24.43305745518222,0.49586671879567423,24.928924173977894,0.014805040254047405,7,15,0.7119735587783771,0.9819461122652776,0.29332932161676384,0.17198046675586048,1.8351622387030568
135,24.433598799368283,0.713552189084253,25.147150988452537,0.010710624350565447,6,14,0.8783896824374792,0.9819461122652776,0.046823630102616885,0.020380893445789243,2.716051925868191
121,24.510475813984222,0.2260552430033082,24.73653105698753,0.01019005058575656,6,15,0.6888431241882921,0.9879515306830556,0.00034135688957013003,0.020380893445789243,0.9696087960622657
19,24.51597100037276,0.42665076909140687,24.942621769464164,0.014805040254047405,5,15,0.6968221086046001,0.8688542189623514,0.37916455083290873,0.060876357783479156,2.1846490458355787
59,24.554945980236717,0.43376150962886206,24.98870748986558,0.024137914282183155,7,15,0.6550083776583973,0.7364265404201034,0.00034135688957013003,0.020380893445789243,2.632018060142943
78,24.560805852066483,0.4440789549683935,25.004884807034877,0.01116748267963702,6,11,0.9723029302414259,0.9433651007372047,0.010371225249492877,3.0105643713946515,0.5230992870149743
93,24.56128076762854,0.7672170938171925,25.32849786144573,0.020507002601388834,4,15,0.7572390898667042,0.9819461122652776,0.0924062767951303,0.6759885744406222,1.8351622387030568
22,24.56537463798187,1.22362943329302,25.78900407127489,0.06495399003319909,5,15,0.6550083776583973,0.7364265404201034,0.00034135688957013003,11.283436021365167,2.632018060142943
28,24.589356632058802,1.3627018852662134,25.952058517325014,0.020507002601388834,4,15,0.7572390898667042,0.9568186220708453,0.0924062767951303,4.204321840957443,1.5079112793155764
95,24.592569791626584,0.08151492782174145,24.674084719448324,0.014805040254047405,8,15,0.7119735587783771,0.9819461122652776,0.29332932161676384,0.17198046675586048,1.8351622387030568
27,24.599922866192014,0.7488172304423089,25.348740096634323,0.024137914282183155,7,10,0.9396893641976711,0.8630451569201374,0.046823630102616885,0.020380893445789243,1.1031474091783005
68,24.599922866192014,0.7488172304423089,25.348740096634323,0.024137914282183155,7,10,0.9396893641976711,0.8630451569201374,0.046823630102616885,0.020380893445789243,1.1031474091783005
122,24.605207937151466,1.5390498844775047,26.14425782162897,0.011239836535236383,4,14,0.6550083776583973,0.7364265404201034,0.0924062767951303,0.6759885744406222,1.8351622387030568
136,24.615755530041387,0.025480523999214782,24.6412360540406,0.011926324174062874,6,15,0.7822627011142852,0.7218455076693483,0.00028771223716237863,14.890829217018695,1.320457481218804
139,24.644929194140378,0.0575831365820171,24.702512330722396,0.01019005058575656,6,11,0.6888431241882921,0.9819461122652776,0.0011595696872206103,1.3481391894993757,0.9696087960622657
97,24.649571819970394,0.1943158712332799,24.843887691203673,0.02279379523765072,6,15,0.7164916560792167,0.8447411578889518,0.0004523529917658781,0.09212515846231674,1.099085529881075
84,24.655697902312998,1.4758261020872714,26.13152400440027,0.02279379523765072,4,7,0.9022204554172195,0.8447411578889518,0.1967129370331638,0.09046451045279395,0.21828901909258058
66,24.66042824854389,2.3944664405744476,27.05489468911834,0.02757359293934948,3,15,0.8293751552493145,0.6624074561769746,0.18790876617825414,1.2181859598426514,1.3453365659349594
130,24.670754212790555,0.7128085231841054,25.38356273597466,0.014805040254047405,5,15,0.9031384441857476,0.6057573954519023,0.37916455083290873,9.435167695108149,0.12218640695691041
119,24.678974274478442,1.3002365095518509,25.979210784030293,0.014805040254047405,5,15,0.6066351315711425,0.8688542189623514,0.37916455083290873,0.060876357783479156,2.6057973845683806
144,24.679756153721694,0.5028973902664068,25.182653543988103,0.01116748267963702,6,10,0.8143098736299034,0.9819461122652776,0.29332932161676384,1.3481391894993757,0.5595555311995627
6,24.692551218931584,1.2497177061483167,25.9422689250799,0.04395225692486303,4,15,0.9100531293444458,0.9757995766256756,1.6023850290194919,0.9412083349710854,2.7656227050693505
127,24.695465714493412,0.5771074919309697,25.272573206424383,0.01019005058575656,8,15,0.6550083776583973,0.7818164259071093,0.08889484853524353,0.01555019165426488,0.9696087960622657
131,24.71331326010171,0.5456308939393542,25.258944154041064,0.07319992387381863,4,15,0.7572390898667042,0.9166316174903394,0.0924062767951303,4.204321840957443,1.5079112793155764
75,24.71469083985698,0.07517188579832716,24.789862725655308,0.01116748267963702,6,11,0.8143098736299034,0.8048372233197124,0.0011595696872206103,1.3481391894993757,0.5595555311995627
102,24.715763817906844,0.2869287843537465,25.00269260226059,0.010710624350565447,5,12,0.6968221086046001,0.763581177765708,0.046823630102616885,0.060876357783479156,2.1846490458355787
85,24.72940745300031,0.04895570975115123,24.77836316275146,0.028610355700540175,6,10,0.7119735587783771,0.9819461122652776,0.29332932161676384,5.163981859349043,2.716051925868191
62,24.74158815285547,0.7140000035697255,25.455588156425197,0.01019005058575656,6,14,0.7480634801021777,0.606182646611547,0.0038587226423781227,0.25908884637579477,2.899964457131009
18,24.74306175779986,1.5670502129694048,26.310111970769267,0.021627106339884114,3,10,0.8010716092915446,0.6205915004999957,0.002038690866562898,9.958935820671329,0.7186856720009173
60,24.80527150632112,0.16663708406550023,24.97190859038662,0.02738591266971283,6,13,0.822080324639785,0.8118602313424026,0.010371225249492877,0.020292475449070563,2.263628622254047
133,24.806036459196935,0.23724644610943554,25.04328290530637,0.02140121112540759,5,15,0.7540390914407701,0.8688542189623514,0.0006520859035130674,0.060876357783479156,0.750728694493786
46,24.8118218405471,1.7074132433879619,26.51923508393506,0.016992928975904202,3,2,0.6072887302606199,0.6377771843023713,0.16196767238198737,0.017178920264244252,0.9569268908812839
9,24.81364035558541,0.11866436879625579,24.932304724381666,0.010150665434429315,7,11,0.8916028672163949,0.9085081386743783,0.0002228094453258927,0.15251273957388442,0.34760717857538914
132,24.856505439659625,1.1003856618649068,25.95689110152453,0.011309648064165123,6,11,0.6066351315711425,0.8048372233197124,0.0011595696872206103,0.15251273957388442,0.34760717857538914
20,24.88877985009742,0.4650072055279441,25.353787055625364,0.027073632385031805,6,10,0.8143098736299034,0.6361159080217633,0.8415140498561936,0.11452613815934024,0.5595555311995627
56,24.890972429651065,0.28021492443948237,25.17118735409055,0.010710624350565447,7,10,0.8783896824374792,0.763581177765708,0.046823630102616885,0.020380893445789243,1.1031474091783005
99,24.917959233900365,0.9245102318042525,25.842469465704617,0.01019005058575656,6,15,0.6550083776583973,0.7364265404201034,0.00034135688957013003,12.959051501156184,0.9696087960622657
74,24.96823156397407,1.94899866538918,26.91723022936325,0.010710624350565447,3,13,0.8783896824374792,0.6205915004999957,0.0006520859035130674,0.032840016775069265,0.7186856720009173
81,24.985537539932068,0.910724406292235,25.896261946224303,0.020107722993504343,6,9,0.6388705975083074,0.8460028906796679,0.0013691677481230521,1.0983894955393905,2.69164727385998
115,25.01405919148699,0.32039234597819016,25.33445153746518,0.01116748267963702,6,11,0.6066351315711425,0.8118602313424026,0.055110243339420155,1.3481391894993757,0.5230992870149743
21,25.034698622947133,0.18777759123164225,25.222476214178776,0.01116748267963702,6,11,0.6066351315711425,0.8048372233197124,0.0011595696872206103,1.3481391894993757,0.5230992870149743
41,25.038971609076086,1.2249003213906307,26.263871930466717,0.03115214572329971,4,6,0.9031384441857476,0.6057573954519023,0.00035109274564133796,0.01418587410126593,0.12218640695691041
