time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse,wmape_mean,wmape_p10,n_folds,wmape_p90,wmape_p50,wmape_std
,,1,,,,,,,42.84563024039907,42.84563024039907,1,42.84563024039907,42.84563024039907,0.0
,,2,,,,,,,33.46058136301627,33.46058136301627,1,33.46058136301627,33.46058136301627,0.0
,,3,,,,,,,31.367346575857546,31.367346575857546,1,31.367346575857546,31.367346575857546,0.0
,,4,,,,,,,27.972480245986773,27.972480245986773,1,27.972480245986773,27.972480245986773,0.0
,,5,,,,,,,37.40222959479434,37.40222959479434,1,37.40222959479434,37.40222959479434,0.0
,,6,,,,,,,38.569825422622465,38.569825422622465,1,38.569825422622465,38.569825422622465,0.0
,,7,,,,,,,31.328889868313308,31.328889868313308,1,31.328889868313308,31.328889868313308,0.0
,,8,,,,,,,35.92610710127945,35.92610710127945,1,35.92610710127945,35.92610710127945,0.0
,,9,,,,,,,28.74463138580729,28.74463138580729,1,28.74463138580729,28.74463138580729,0.0
,,10,,,,,,,29.049224530973405,29.049224530973405,1,29.049224530973405,29.049224530973405,0.0
,,11,,,,,,,27.040575044811305,27.040575044811305,1,27.040575044811305,27.040575044811305,0.0
,,12,,,,,,,29.24554181722428,29.24554181722428,1,29.24554181722428,29.24554181722428,0.0
