time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse
24286,2023,11,184,17047.0,27.040575044811305,68.14079418496055,25.05221102113578,44.72138256988994
24287,2023,12,184,22377.0,29.24554181722428,76.82311790321934,35.56671137195803,122.33334012045735
24288,2024,1,176,15053.0,42.84563024039907,91.71929135406658,36.64518590958677,71.58386171085641
24289,2024,2,176,10004.0,33.46058136301627,26.328775579482084,19.019298633841746,32.8526168888648
24290,2024,3,176,16751.0,31.367346575857546,59.73606489635158,29.8542285506926,59.25661654233666
24291,2024,4,176,12136.0,27.972480245986773,29.73550533819072,19.2882966059827,34.640778247826596
24292,2024,5,176,16078.0,37.40222959479434,85.42076768064706,34.167786785517244,58.34443487046819
24293,2024,6,176,12787.0,38.569825422622465,82.92896520129467,28.022293049947358,40.93509769069096
24294,2024,7,176,15121.0,31.328889868313308,80.08170947566892,26.91614452833895,43.21074700381172
24295,2024,8,176,19165.0,35.92610710127945,86.06758697687019,39.120672874773895,62.93424454640402
24296,2024,9,176,21348.0,28.74463138580729,78.2513699945655,34.86593129683035,64.62084652380511
24297,2024,10,176,24947.0,29.049224530973405,83.23421647541714,41.17562524853373,74.3544168974679
