time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_p50,n_folds,wmape_p10,wmape_std,wmape_wmean,wmape_p90,wmape_mean
,,1,,,,,,,,,,,46.567991438287685,1,46.567991438287685,0.0,46.567991438287685,46.567991438287685,46.567991438287685
,,2,,,,,,,,,,,44.17148255935294,2,35.126726239129056,15.98902132052549,41.46828884451896,53.21623887957683,44.17148255935294
,,3,,,,,,,,,,,33.77710729377241,2,32.338137827573476,2.5437626686741317,33.87200837686278,35.216076759971344,33.77710729377241
,,4,,,,,,,,,,,32.63572241315736,2,29.267386406210775,5.954433079566875,32.33963189929408,36.004058420103945,32.63572241315736
,,5,,,,,,,,,,,29.084446251654157,2,27.65300816884721,2.5304489380036554,29.145618327443874,30.515884334461102,29.084446251654157
,,6,,,,,,,,,,,38.002189438857606,2,37.81891099827888,0.3239935704462831,37.991994939383986,38.18546787943634,38.002189438857606
,,7,,,,,,,,,,,25.74530908214934,2,25.262928402196977,0.8527366247692403,25.73767099433423,26.22768976210171,25.74530908214934
,,8,,,,,,,,,,,29.729270686761783,2,25.64998890933385,7.211219517975008,30.309667147481033,33.80855246418972,29.729270686761783
,,9,,,,,,,,,,,29.986687507446497,2,29.728179315587262,0.4569822386398506,29.9355766547837,30.245195699305732,29.986687507446497
,,10,,,,,,,,,,,23.519438461617952,2,22.22755998451663,2.2837400790682323,23.24036452986671,24.81131693871927,23.519438461617952
,,11,,,,,,,,,,,34.83073142306745,1,34.83073142306745,0.0,34.83073142306745,34.83073142306745,34.83073142306745
,,12,,,,,,,,,,,32.95897098426531,1,32.95897098426531,0.0,32.95897098426531,32.95897098426531,32.95897098426531
