protocol,fold,time_key,year,month,dealer_code,n_test,sum_abs_y,wmape,smape,mae,rmse,y_true,y_pred
kfold_plain,,24264,2022,1,,184,16945.0,79.81041779834169,127.2221371458837,73.4993222604837,117.07280300868318,,
kfold_plain,,24265,2022,2,,184,15865.0,45.81106763752616,78.27652821546461,39.4995971776822,65.59931638103504,,
kfold_plain,,24266,2022,3,,184,18493.0,31.204660178192935,78.77213955305653,31.362379384528367,52.391322260732515,,
kfold_plain,,24267,2022,4,,184,13092.0,35.98165389838447,66.99939956447595,25.601728958567907,45.81096134661143,,
kfold_plain,,24268,2022,5,,184,15766.0,30.947607691504842,71.14275441132645,26.5173903730579,49.07831554043701,,
kfold_plain,,24269,2022,6,,184,20356.0,41.87685168705204,79.42631744932561,46.328543094653874,75.87767783489466,,
kfold_plain,,24270,2022,7,,184,18322.0,26.73086204293686,69.16983885567429,26.61754643210267,44.42330692107849,,
kfold_plain,,24271,2022,8,,184,16584.0,25.1729302529794,64.04830727858034,22.68847148453317,36.12993081557479,,
kfold_plain,,24272,2022,9,,184,15233.0,28.582300294584606,62.8131532370965,23.66272719496779,43.188031700802014,,
kfold_plain,,24273,2022,10,,184,17718.0,27.30810701590703,65.91934974475161,26.29592609281743,49.90113077144052,,
kfold_plain,,24274,2022,11,,184,13306.0,43.975626301648155,69.1149328331249,31.801069759224475,57.83812998044814,,
kfold_plain,,24275,2022,12,,184,17361.0,29.198054295574195,65.97806808518709,27.549316338340414,63.84627605423936,,
kfold_plain,,24276,2023,1,,184,8550.0,69.14575141480144,79.1212164682078,32.130226880247406,53.05391943200842,,
kfold_plain,,24277,2023,2,,184,16291.0,30.111834748176065,69.55747379079325,26.660429341442185,44.75952753309505,,
kfold_plain,,24278,2023,3,,184,15072.0,22.278102785722538,61.04419903867009,18.24867202100055,31.802346754828335,,
kfold_plain,,24279,2023,4,,184,13972.0,20.991889914686514,55.076693256154094,15.940145972173912,28.46781967489987,,
kfold_plain,,24280,2023,5,,184,15015.0,22.686505841682717,60.08168036430735,18.5129285441775,34.78267836960501,,
kfold_plain,,24281,2023,6,,184,13978.0,27.19772441320091,60.29171300803675,20.66140173085447,38.35754350979581,,
kfold_plain,,24282,2023,7,,184,15509.0,22.279503836381632,63.099366691109324,18.778957880350152,35.11951137218563,,
kfold_plain,,24283,2023,8,,184,15248.0,22.265268323432892,67.31294679086581,18.451131054114388,35.13484682051917,,
kfold_plain,,24284,2023,9,,184,15517.0,23.81505295909952,69.86723395390317,20.083596563388436,41.070741483694285,,
kfold_plain,,24285,2023,10,,184,17595.0,25.49485761799134,77.28912961587024,24.379457597204215,42.068878079291906,,
kfold_plain,,24286,2023,11,,184,17047.0,27.965265497613363,70.83127482714244,25.908906572707338,45.183840751594154,,
kfold_plain,,24287,2023,12,,184,22377.0,33.519185694614364,80.84051906991205,40.76406621132531,133.41360598738007,,
kfold_plain,,24288,2024,1,,176,15053.0,37.47256697794098,94.85343289277584,32.04969038175827,67.02990923537841,,
kfold_plain,,24289,2024,2,,176,10004.0,35.604091442346494,91.26500414571507,20.237689249388318,32.02865432036876,,
kfold_plain,,24290,2024,3,,176,16751.0,32.21929398095836,93.65855316486929,30.665079174717814,58.53143975995555,,
kfold_plain,,24291,2024,4,,176,12136.0,28.784978278387268,30.28528992763585,19.848550931051587,37.056091628260205,,
kfold_plain,,24292,2024,5,,176,16078.0,33.97890558938036,85.03390476814279,31.040502503753263,52.58752732552783,,
kfold_plain,,24293,2024,6,,176,12787.0,40.75812758564029,90.2553602137237,29.612169172589912,45.468802105095655,,
kfold_plain,,24294,2024,7,,176,15121.0,30.16982876316488,89.9330581332557,25.920339814080464,43.92500270945035,,
kfold_plain,,24295,2024,8,,176,19165.0,38.47736505202777,99.37991994556971,41.89878984216547,66.10380795017446,,
kfold_plain,,24296,2024,9,,176,21348.0,37.84262055568833,103.65873017024285,45.90137861493377,80.55535629290463,,
kfold_plain,,24297,2024,10,,176,24947.0,40.26108863031955,106.24294391302926,57.067805571623964,93.35020687132524,,
