protocol,fold,time_key,year,month,dealer_code,n_test,sum_abs_y,wmape,smape,mae,rmse,y_true,y_pred,wmape_p50,wmape_p10,wmape_std,wmape_wmean,wmape_mean,n_groups,wmape_p90
,,,,1,,,,,,,,,,69.14575141480144,43.80720386531307,22.020518210425546,61.844190956604464,62.1429120636947,3,77.67748452163363
,,,,2,,,,,,,,,,35.604091442346494,31.21028608701015,7.9667345878312,37.322766099172746,37.175664609349575,3,43.76967239849022
,,,,3,,,,,,,,,,31.204660178192935,24.063414264216618,5.470225330749127,28.868525704284234,28.567352314957944,3,32.01636722040528
,,,,4,,,,,,,,,,28.784978278387268,22.550507587426665,7.496859236939145,28.41084171204483,28.586174030486085,3,34.54231877438503
,,,,5,,,,,,,,,,30.947607691504842,24.338726211647142,5.844553914836742,29.340590113813544,29.20433970752264,3,33.37264600980526
,,,,6,,,,,,,,,,40.75812758564029,29.909805047688785,8.17121834383857,37.218844299291945,36.61090122863108,3,41.65310686676968
,,,,7,,,,,,,,,,26.73086204293686,23.169775477692678,3.955972477072262,26.382857903189816,26.393398214161124,3,29.482035419119278
,,,,8,,,,,,,,,,25.1729302529794,22.846800709342194,8.643827890041736,29.303437220488014,28.63852120948002,3,35.8164780922181
,,,,9,,,,,,,,,,28.582300294584606,24.76850242619654,7.132704386284887,30.956977634008773,30.079991269790817,3,35.99055650346759
,,,,10,,,,,,,,,,27.30810701590703,25.85750749757448,8.053044811247831,32.141062694274474,31.021351088072638,3,37.670492307437044
,,,,11,,,,,,,,,,35.97044589963076,29.566301578016844,11.321034693776307,34.9838093271685,35.97044589963076,2,42.37459022124468
,,,,12,,,,,,,,,,31.35861999509428,29.630167435478214,3.055501314659417,31.6313412580867,31.35861999509428,2,33.087072554710346
