time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse
24286,2023,11,184,17047.0,28.407862061979582,68.17054208658125,26.318957857095977,49.487255086689956
24287,2023,12,184,22377.0,29.29067830448221,76.41310464124949,35.62160371844556,132.7137092278259
24288,2024,1,176,15053.0,46.48534694632315,93.06797901838074,39.75817770357968,77.20916857819181
24289,2024,2,176,10004.0,34.32670799967749,27.865102898693873,19.5116128879985,32.55373856863677
24290,2024,3,176,16751.0,29.758928099113717,28.870532601363998,28.32339798796897,54.21149758816181
24291,2024,4,176,12136.0,30.716498749892658,30.59356855076785,21.180422092539615,40.18093028344399
24292,2024,5,176,16078.0,36.00925668731122,85.49454840871775,32.89527437605624,56.14080677612157
24293,2024,6,176,12787.0,37.16507121251491,83.56120620109753,27.001691226956144,40.51350557817678
24294,2024,7,176,15121.0,29.460986252871617,77.99465892731516,25.311339382367713,41.92808060460429
24295,2024,8,176,19165.0,37.13500380854495,86.60470955343249,40.437065226747954,64.06225262719794
24296,2024,9,176,21348.0,30.31025522184403,79.53644655343008,36.764961845223084,66.68701621923076
24297,2024,10,176,24947.0,27.898447183388715,83.09066932755749,39.54446374340899,69.74795771302442
