time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse,wmape_p50,n_folds,wmape_p90,wmape_std,wmape_p10,wmape_mean
,,1,,,,,,,44.69121642062653,1,44.69121642062653,0.0,44.69121642062653,44.69121642062653
,,2,,,,,,,36.7268289336377,1,36.7268289336377,0.0,36.7268289336377,36.7268289336377
,,3,,,,,,,31.43232465040796,1,31.43232465040796,0.0,31.43232465040796,31.43232465040796
,,4,,,,,,,29.512726132339772,1,29.512726132339772,0.0,29.512726132339772,29.512726132339772
,,5,,,,,,,35.942956132316226,1,35.942956132316226,0.0,35.942956132316226,35.942956132316226
,,6,,,,,,,37.0891664392475,1,37.0891664392475,0.0,37.0891664392475,37.0891664392475
,,7,,,,,,,29.025357129535085,1,29.025357129535085,0.0,29.025357129535085,29.025357129535085
,,8,,,,,,,38.447717018794975,1,38.447717018794975,0.0,38.447717018794975,38.447717018794975
,,9,,,,,,,31.769252868105234,1,31.769252868105234,0.0,31.769252868105234,31.769252868105234
,,10,,,,,,,29.450244726552192,1,29.450244726552192,0.0,29.450244726552192,29.450244726552192
,,11,,,,,,,28.14111620263796,1,28.14111620263796,0.0,28.14111620263796,28.14111620263796
,,12,,,,,,,31.89943557108682,1,31.89943557108682,0.0,31.89943557108682,31.89943557108682
