experiment,n_pairs,delta_wmape_mean,delta_wmape_p10,delta_wmape_p50,delta_wmape_p90,improve_rate
p3_2_loss_only,12,-1.2576034855681393,-4.48067217027258,-0.9686756441938211,1.0775422225287512,0.5833333333333334
p3_2_weight_only,12,2.7225262481192236,1.298683256385118,3.214260082022804,6.448135486868088,0.08333333333333333
p3_2_full,12,5.998967596953332,-0.06826932388386912,6.575692705324448,12.787680139020285,0.16666666666666666
