time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse
24286,2023,11,184,17047.0,28.44461745623013,68.9537710485828,26.35301053132364,47.94578015210708
24287,2023,12,184,22377.0,29.505431083745755,75.01162725181368,35.88277344353145,130.07965989686824
24288,2024,1,176,15053.0,41.925940621856256,92.20286188900022,35.858590010272856,71.99547016401078
24289,2024,2,176,10004.0,30.097794232555653,24.56056908341169,17.107859858095836,29.692694199604873
24290,2024,3,176,16751.0,31.158238520172105,29.080036151270996,29.655207582466076,58.239505370998515
24291,2024,4,176,12136.0,30.318683808702072,32.04662949435915,20.906110608091385,40.18666818363706
24292,2024,5,176,16078.0,36.05137195347646,84.08710972256333,32.93374762886333,57.54757354376111
24293,2024,6,176,12787.0,40.84032697258257,85.72487053423704,29.6718898294553,43.02118726197816
24294,2024,7,176,15121.0,29.253406176413232,78.82907099985144,25.132997431451393,41.780735695018464
24295,2024,8,176,19165.0,36.023677163027905,84.99681730644507,39.226918910763054,62.826811423759054
24296,2024,9,176,21348.0,30.163481530388385,78.24235709710204,36.58693202901882,65.30663553584161
24297,2024,10,176,24947.0,27.734175827883572,81.6261608715104,39.311618430580204,69.48099047043682
