experiment,n_pairs,delta_wmape_mean,delta_wmape_p10,delta_wmape_p50,delta_wmape_p90,improve_rate
full_t1150,21,-0.38201932411002104,-0.6451515752230321,-0.38676168431128843,-0.1556127286256661,0.9523809523809523
full_t900,21,-0.26384212954649655,-0.59466765912331,-0.2714987283975496,-0.023967940442226165,0.9047619047619048
full_t450,21,0.1390922848626268,-0.1292196222770059,0.09289984609565849,0.5131353809561219,0.3333333333333333
