experiment,time_key,delta_wmape,wmape_base,wmape_exp,month,sum_abs_y
full_t1150,24277,-0.8563126745558236,33.94128624872347,33.08497357416765,2,16291.0
full_t1150,24278,-0.3888865058842228,32.332354341089854,31.94346783520563,3,15072.0
full_t1150,24279,-0.5354218110292877,28.89089449203496,28.355472681005672,4,13972.0
full_t1150,24280,-0.7728227455934373,28.193399478227665,27.420576732634228,5,15015.0
full_t1150,24281,-0.38676168431128843,38.25167891873125,37.86491723441996,6,13978.0
full_t1150,24282,-0.4183443258729369,25.607448700618235,25.1891043747453,7,15509.0
full_t1150,24283,-0.27948883122687107,25.01720554055597,24.7377167093291,8,15248.0
full_t1150,24284,-0.49192512543182687,30.907358751089877,30.41543362565805,9,15517.0
full_t1150,24285,-0.18970017949434848,25.348128275154465,25.158428095660117,10,17595.0
full_t1150,24286,-0.07264205575472005,34.86543573605642,34.7927936803017,11,17047.0
full_t1150,24287,-0.24830537362930727,33.2852516373771,33.036946263747794,12,22377.0
full_t1150,24288,0.10969966208507742,46.87187425687782,46.981573918962894,1,15053.0
full_t1150,24289,-0.5215661233065418,56.021591855353805,55.50002573204726,2,10004.0
full_t1150,24290,-0.18817046942422166,35.94468915920088,35.756518689776655,3,16751.0
full_t1150,24291,-0.6451515752230321,37.32477927097931,36.67962769575628,4,12136.0
full_t1150,24292,-0.5739139789875978,31.71881402750368,31.14490004851608,5,16078.0
full_t1150,24293,-0.21827730868115225,38.70774487851698,38.48946756983583,6,12787.0
full_t1150,24294,-0.599067377181651,27.10169634564545,26.5026289684638,7,15121.0
full_t1150,24295,-0.3741796639330701,35.22707920487481,34.85289954094174,8,19165.0
full_t1150,24296,-0.1556127286256661,29.88445606485431,29.728843336228643,9,21348.0
full_t1150,24297,-0.21555493024851557,22.14581412380624,21.930259193557724,10,24947.0
full_t450,24277,0.9534693095032978,33.94128624872347,34.89475555822677,2,16291.0
full_t450,24278,0.3161759766297223,32.332354341089854,32.648530317719576,3,15072.0
full_t450,24279,0.13566974101487972,28.89089449203496,29.02656423304984,4,13972.0
full_t450,24280,0.5131353809561219,28.193399478227665,28.706534859183787,5,15015.0
full_t450,24281,-0.1292196222770059,38.25167891873125,38.122459296454245,6,13978.0
full_t450,24282,0.1367005460058941,25.607448700618235,25.74414924662413,7,15509.0
full_t450,24283,0.31353037605005696,25.01720554055597,25.330735916606027,8,15248.0
full_t450,24284,0.23414827909652303,30.907358751089877,31.1415070301864,9,15517.0
full_t450,24285,0.09289984609565849,25.348128275154465,25.441028121250124,10,17595.0
full_t450,24286,-0.045511898368161496,34.86543573605642,34.81992383768826,11,17047.0
full_t450,24287,0.027402608543901863,33.2852516373771,33.312654245921,12,22377.0
full_t450,24288,-0.05925661985529018,46.87187425687782,46.81261763702253,1,15053.0
full_t450,24289,-0.5750520379006616,56.021591855353805,55.44653981745314,2,10004.0
full_t450,24290,-0.03555638990390264,35.94468915920088,35.909132769296974,3,16751.0
full_t450,24291,0.8255540342337255,37.32477927097931,38.15033330521304,4,12136.0
full_t450,24292,0.0751723132778217,31.71881402750368,31.7939863407815,5,16078.0
full_t450,24293,-0.22794407732447297,38.70774487851698,38.47980080119251,6,12787.0
full_t450,24294,0.003230383326616959,27.10169634564545,27.104926728972067,7,15121.0
full_t450,24295,-0.11240527488654806,35.22707920487481,35.114673929988264,8,19165.0
full_t450,24296,0.13017261298560356,29.88445606485431,30.014628677839912,9,21348.0
full_t450,24297,0.34862249491138186,22.14581412380624,22.49443661871762,10,24947.0
full_t900,24277,-0.6403230448526074,33.94128624872347,33.300963203870865,2,16291.0
full_t900,24278,-0.2874267582174568,32.332354341089854,32.0449275828724,3,15072.0
full_t900,24279,-0.28187395200120235,28.89089449203496,28.609020540033757,4,13972.0
full_t900,24280,-0.36035377027350535,28.193399478227665,27.83304570795416,5,15015.0
full_t900,24281,-0.38205741863767173,38.25167891873125,37.86962150009358,6,13978.0
full_t900,24282,-0.34686916301387427,25.607448700618235,25.26057953760436,7,15509.0
full_t900,24283,-0.17918045598337073,25.01720554055597,24.8380250845726,8,15248.0
full_t900,24284,-0.04179502736587182,30.907358751089877,30.865563723724005,9,15517.0
full_t900,24285,-0.03518250084086105,25.348128275154465,25.312945774313604,10,17595.0
full_t900,24286,-0.11971978810608164,34.86543573605642,34.74571594795034,11,17047.0
full_t900,24287,-0.3728327793991255,33.2852516373771,32.912418857977976,12,22377.0
full_t900,24288,0.015323321890420516,46.87187425687782,46.88719757876824,1,15053.0
full_t900,24289,-0.023967940442226165,56.021591855353805,55.99762391491158,2,10004.0
full_t900,24290,0.09034996950465057,35.94468915920088,36.03503912870553,3,16751.0
full_t900,24291,-0.59466765912331,37.32477927097931,36.730111611856,4,12136.0
full_t900,24292,-0.2714987283975496,31.71881402750368,31.44731529910613,5,16078.0
full_t900,24293,-0.13020924820038005,38.70774487851698,38.5775356303166,6,12787.0
full_t900,24294,-0.6932463392710879,27.10169634564545,26.408450006374363,7,15121.0
full_t900,24295,-0.4934141127708003,35.22707920487481,34.73366509210401,8,19165.0
full_t900,24296,-0.18240221211899765,29.88445606485431,29.70205385273531,9,21348.0
full_t900,24297,-0.20933711285551837,22.14581412380624,21.93647701095072,10,24947.0
