time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean
24286,2023,11,184,17047.0,,28.33138080450206,,68.76882239136664,26.2481004659971,47.08557015626883,,
24287,2023,12,184,22377.0,,28.427826414457307,,75.62524160799266,34.572253895451695,128.64439414641208,,
24288,2024,1,176,15053.0,,49.716677974720305,,94.40364937023452,42.52188372462868,79.85017927160762,,
24289,2024,2,176,10004.0,,28.246403707517544,,24.13548417752213,16.055512652841223,27.389001254469694,,
24290,2024,3,176,16751.0,,30.8753201853466,,34.97793745409225,29.385936842314823,56.80706387310344,,
24291,2024,4,176,12136.0,,30.347321768996437,,31.677812723028204,20.925857783439817,39.09710464149692,,
24292,2024,5,176,16078.0,,37.392904584822574,,85.20819078155544,34.159268176975985,58.36227934960541,,
24293,2024,6,176,12787.0,,37.98448328665495,,83.09654265068936,27.59702203332141,40.34887421833109,,
24294,2024,7,176,15121.0,,30.57961341398031,,78.86399288811963,26.27240536549979,42.98917264421967,,
24295,2024,8,176,19165.0,,36.03356326836556,,85.01453243963142,39.23768409308103,62.56994168333043,,
24296,2024,9,176,21348.0,,29.886880380040022,,79.04020341210386,36.25142740642582,67.98254844846389,,
24297,2024,10,176,24947.0,,28.899313107237695,,82.25051681099703,40.96313432308288,72.78925107701498,,
