time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse,wmape_mean,wmape_p10,n_folds,wmape_p90,wmape_p50,wmape_std
,,1,,,,,,,44.71855551788758,44.71855551788758,1,44.71855551788758,44.71855551788758,0.0
,,2,,,,,,,31.936150293550515,31.936150293550515,1,31.936150293550515,31.936150293550515,0.0
,,3,,,,,,,29.723725652012433,29.723725652012433,1,29.723725652012433,29.723725652012433,0.0
,,4,,,,,,,28.870506413765813,28.870506413765813,1,28.870506413765813,28.870506413765813,0.0
,,5,,,,,,,36.77626756320965,36.77626756320965,1,36.77626756320965,36.77626756320965,0.0
,,6,,,,,,,37.72290477633313,37.72290477633313,1,37.72290477633313,37.72290477633313,0.0
,,7,,,,,,,29.124362987414333,29.124362987414333,1,29.124362987414333,29.124362987414333,0.0
,,8,,,,,,,37.913277165478824,37.913277165478824,1,37.913277165478824,37.913277165478824,0.0
,,9,,,,,,,29.87026864749167,29.87026864749167,1,29.87026864749167,29.87026864749167,0.0
,,10,,,,,,,28.37899622203355,28.37899622203355,1,28.37899622203355,28.37899622203355,0.0
,,11,,,,,,,27.80638778700092,27.80638778700092,1,27.80638778700092,27.80638778700092,0.0
,,12,,,,,,,29.662678845496632,29.662678845496632,1,29.662678845496632,29.662678845496632,0.0
