experiment,wmape_weighted_base,wmape_weighted_exp,phase3_score_base,phase3_score_exp,peak_std_base,peak_std_exp,dec_mean_base,dec_mean_exp,delta_wmape_weighted,delta_phase3_score,delta_peak_std,delta_dec_mean
random_best_full,25.505987650583847,24.268026709157805,35.023441046467454,33.41923802923242,0.3124410972410448,0.3118438689466348,26.96955177592384,25.923572436679855,-1.2379609414260422,-1.6042030172350366,-0.0005972282944100016,-1.045979339243985
optuna_best_full,25.505987650583847,24.463900029790516,35.023441046467454,33.595433219862954,0.3124410972410448,0.9465112100345501,26.96955177592384,25.414015393039435,-1.0420876207933318,-1.4280078266044995,0.6340701127935053,-1.555536382884405
optuna_best_composite_full,25.505987650583847,24.463900029790516,35.023441046467454,33.595433219862954,0.3124410972410448,0.9465112100345501,26.96955177592384,25.414015393039435,-1.0420876207933318,-1.4280078266044995,0.6340701127935053,-1.555536382884405
optuna_knee_full,25.505987650583847,24.6039651103901,35.023441046467454,33.71957944930892,0.3124410972410448,0.16876626642655812,26.96955177592384,25.92406506374908,-0.9020225401937481,-1.3038615971585372,-0.14367483081448668,-1.0454867121747604
