time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse,wmape_mean,wmape_p10,n_folds,wmape_p90,wmape_p50,wmape_std
,,1,,,,,,,43.39160962708216,43.39160962708216,1,43.39160962708216,43.39160962708216,0.0
,,2,,,,,,,25.631605952936802,25.631605952936802,1,25.631605952936802,25.631605952936802,0.0
,,3,,,,,,,29.819385117128093,29.819385117128093,1,29.819385117128093,29.819385117128093,0.0
,,4,,,,,,,32.27394905421892,32.27394905421892,1,32.27394905421892,32.27394905421892,0.0
,,5,,,,,,,38.80216464244716,38.80216464244716,1,38.80216464244716,38.80216464244716,0.0
,,6,,,,,,,40.76850725022821,40.76850725022821,1,40.76850725022821,40.76850725022821,0.0
,,7,,,,,,,29.884107079642853,29.884107079642853,1,29.884107079642853,29.884107079642853,0.0
,,8,,,,,,,36.58992288088265,36.58992288088265,1,36.58992288088265,36.58992288088265,0.0
,,9,,,,,,,30.024786414460237,30.024786414460237,1,30.024786414460237,30.024786414460237,0.0
,,10,,,,,,,26.79439350928782,26.79439350928782,1,26.79439350928782,26.79439350928782,0.0
,,11,,,,,,,29.180843175529382,29.180843175529382,1,29.180843175529382,29.180843175529382,0.0
,,12,,,,,,,29.118994054199813,29.118994054199813,1,29.118994054199813,29.118994054199813,0.0
