time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_mean,wmape_p10,n_folds,wmape_wmean,wmape_std,wmape_p50,wmape_p90
,,1,,,,,,,,,,,47.42620960150194,47.42620960150194,1,47.42620960150194,0.0,47.42620960150194,47.42620960150194
,,2,,,,,,,,,,,43.70680727271607,35.26041570792219,2,41.182445998336,14.931251880056516,43.70680727271607,52.15319883750995
,,3,,,,,,,,,,,33.66331163065507,32.249619226466436,2,33.75654567311779,2.499078713784258,33.66331163065507,35.07700403484372
,,4,,,,,,,,,,,32.24560580854428,28.927238701807887,2,31.953907765417274,5.866099709099229,32.24560580854428,35.56397291528069
,,5,,,,,,,,,,,29.007530009751978,27.522335221558915,2,29.070999362172508,2.6254782652855844,29.007530009751978,30.49272479794504
,,6,,,,,,,,,,,38.03160143149438,37.8851849504768,2,38.0234573053552,0.25883021651251353,38.03160143149438,38.17801791251196
,,7,,,,,,,,,,,25.641426759782647,25.228255823754786,2,25.634884549401534,0.7303899266362386,25.641426759782647,26.054597695810514
,,8,,,,,,,,,,,29.743100796538066,25.65115013658371,2,30.32529977421515,7.233615149836238,29.743100796538066,33.83505145649242
,,9,,,,,,,,,,,29.91701022193038,29.649295417523437,2,29.864079087232938,0.47325738405045087,29.91701022193038,30.184725026337322
,,10,,,,,,,,,,,23.432412679891634,22.172908648252363,2,23.16033233456784,2.2265096042598116,23.432412679891634,24.691916711530908
,,11,,,,,,,,,,,34.68511543043437,34.68511543043437,1,34.68511543043437,0.0,34.68511543043437,34.68511543043437
,,12,,,,,,,,,,,33.02326281663,33.02326281663,1,33.02326281663,0.0,33.02326281663,33.02326281663
