experiment,time_key,delta_wmape,wmape_base,wmape_exp,month,sum_abs_y
p3_2_full_t650,24277,3.8190642791957927,30.12222196952768,33.94128624872347,2,16291.0
p3_2_full_t650,24278,-7.013153210724752,39.345507551814606,32.332354341089854,3,15072.0
p3_2_full_t650,24279,9.28083455753709,19.61005993449787,28.89089449203496,4,13972.0
p3_2_full_t650,24280,10.263374783049077,17.930024695178588,28.193399478227665,5,15015.0
p3_2_full_t650,24281,9.308622878296433,28.94305604043482,38.25167891873125,6,13978.0
p3_2_full_t650,24282,8.942871946713932,16.664576753904303,25.607448700618235,7,15509.0
p3_2_full_t650,24283,7.469910829652203,17.547294710903767,25.01720554055597,8,15248.0
p3_2_full_t650,24284,10.093121174691102,20.814237576398774,30.907358751089877,9,15517.0
p3_2_full_t650,24285,4.246225189952206,21.10190308520226,25.348128275154465,10,17595.0
p3_2_full_t650,24286,3.236141236806649,31.62929449924977,34.86543573605642,11,17047.0
p3_2_full_t650,24287,2.8447503927220623,30.44050124465504,33.2852516373771,12,22377.0
p3_2_full_t650,24288,13.029542640777144,33.84233161610067,46.87187425687782,1,15053.0
p3_2_full_t650,24289,28.863563774516102,27.158028080837703,56.021591855353805,2,10004.0
p3_2_full_t650,24290,5.379988881049776,30.5647002781511,35.94468915920088,3,16751.0
p3_2_full_t650,24291,8.827676611140411,28.4971026598389,37.32477927097931,4,12136.0
p3_2_full_t650,24292,2.6834143139587106,29.03539971354497,31.71881402750368,5,16078.0
p3_2_full_t650,24293,13.372939162906352,25.33480571561063,38.70774487851698,6,12787.0
p3_2_full_t650,24294,10.359737293389603,16.741959052255847,27.10169634564545,7,15121.0
p3_2_full_t650,24295,4.3092765627409975,30.917802642133815,35.22707920487481,8,19165.0
p3_2_full_t650,24296,3.692313106805617,26.19214295804869,29.88445606485431,9,21348.0
p3_2_full_t650,24297,1.6681286728816502,20.47768545092459,22.14581412380624,10,24947.0
p3_2_loss_only_t650,24277,3.9904017740700297,30.12222196952768,34.11262374359771,2,16291.0
p3_2_loss_only_t650,24278,1.0023967978108246,39.345507551814606,40.34790434962543,3,15072.0
p3_2_loss_only_t650,24279,7.214627571435901,19.61005993449787,26.82468750593377,4,13972.0
p3_2_loss_only_t650,24280,0.5910169890632986,17.930024695178588,18.521041684241887,5,15015.0
p3_2_loss_only_t650,24281,-0.886635124979378,28.94305604043482,28.05642091545544,6,13978.0
