time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse,wmape_mean,wmape_p10,n_folds,wmape_p90,wmape_p50,wmape_std
,,1,,,,,,,45.41626760977407,45.41626760977407,1,45.41626760977407,45.41626760977407,0.0
,,2,,,,,,,28.173556467505783,28.173556467505783,1,28.173556467505783,28.173556467505783,0.0
,,3,,,,,,,31.303977986685673,31.303977986685673,1,31.303977986685673,31.303977986685673,0.0
,,4,,,,,,,30.024838427424562,30.024838427424562,1,30.024838427424562,30.024838427424562,0.0
,,5,,,,,,,37.7404259497635,37.7404259497635,1,37.7404259497635,37.7404259497635,0.0
,,6,,,,,,,37.36231728372778,37.36231728372778,1,37.36231728372778,37.36231728372778,0.0
,,7,,,,,,,29.705578861028947,29.705578861028947,1,29.705578861028947,29.705578861028947,0.0
,,8,,,,,,,36.7597144023553,36.7597144023553,1,36.7597144023553,36.7597144023553,0.0
,,9,,,,,,,29.576738345750165,29.576738345750165,1,29.576738345750165,29.576738345750165,0.0
,,10,,,,,,,27.66702814051888,27.66702814051888,1,27.66702814051888,27.66702814051888,0.0
,,11,,,,,,,27.231354836273198,27.231354836273198,1,27.231354836273198,27.231354836273198,0.0
,,12,,,,,,,29.55155358217635,29.55155358217635,1,29.55155358217635,29.55155358217635,0.0
