time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse,wmape_mean,wmape_p10,n_folds,wmape_p90,wmape_p50,wmape_std
,,1,,,,,,,43.4396584286652,43.4396584286652,1,43.4396584286652,43.4396584286652,0.0
,,2,,,,,,,26.321363149457323,26.321363149457323,1,26.321363149457323,26.321363149457323,0.0
,,3,,,,,,,29.410907934963713,29.410907934963713,1,29.410907934963713,29.410907934963713,0.0
,,4,,,,,,,30.96736811643424,30.96736811643424,1,30.96736811643424,30.96736811643424,0.0
,,5,,,,,,,39.246341047392576,39.246341047392576,1,39.246341047392576,39.246341047392576,0.0
,,6,,,,,,,38.56605632287614,38.56605632287614,1,38.56605632287614,38.56605632287614,0.0
,,7,,,,,,,30.409199093873458,30.409199093873458,1,30.409199093873458,30.409199093873458,0.0
,,8,,,,,,,36.21455671956922,36.21455671956922,1,36.21455671956922,36.21455671956922,0.0
,,9,,,,,,,29.148126702011563,29.148126702011563,1,29.148126702011563,29.148126702011563,0.0
,,10,,,,,,,28.796236393036363,28.796236393036363,1,28.796236393036363,28.796236393036363,0.0
,,11,,,,,,,28.032241167820573,28.032241167820573,1,28.032241167820573,28.032241167820573,0.0
,,12,,,,,,,28.66266947583398,28.66266947583398,1,28.66266947583398,28.66266947583398,0.0
