time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse,wmape_mean,wmape_p10,n_folds,wmape_p90,wmape_p50,wmape_std
,,1,,,,,,,44.12139347328191,44.12139347328191,1,44.12139347328191,44.12139347328191,0.0
,,2,,,,,,,33.19533611650034,33.19533611650034,1,33.19533611650034,33.19533611650034,0.0
,,3,,,,,,,33.54737058959489,33.54737058959489,1,33.54737058959489,33.54737058959489,0.0
,,4,,,,,,,28.511218809958223,28.511218809958223,1,28.511218809958223,28.511218809958223,0.0
,,5,,,,,,,37.28730091070676,37.28730091070676,1,37.28730091070676,37.28730091070676,0.0
,,6,,,,,,,35.08793451032636,35.08793451032636,1,35.08793451032636,35.08793451032636,0.0
,,7,,,,,,,29.206503619782744,29.206503619782744,1,29.206503619782744,29.206503619782744,0.0
,,8,,,,,,,37.52901727093699,37.52901727093699,1,37.52901727093699,37.52901727093699,0.0
,,9,,,,,,,31.205190541303747,31.205190541303747,1,31.205190541303747,31.205190541303747,0.0
,,10,,,,,,,28.45443918444018,28.45443918444018,1,28.45443918444018,28.45443918444018,0.0
,,11,,,,,,,28.08967860722829,28.08967860722829,1,28.08967860722829,28.08967860722829,0.0
,,12,,,,,,,31.599298056973634,31.599298056973634,1,31.599298056973634,31.599298056973634,0.0
