experiment,time_key,delta_wmape,wmape_base,wmape_exp,month,sum_abs_y
full_t2700,24286,-0.009218125738023275,28.334861191115174,28.32564306537715,11,17047.0
full_t2700,24287,0.0460161332736142,28.40229725628752,28.448313389561136,12,22377.0
full_t2700,24288,0.059728491167902575,49.72720245846659,49.786930949634495,1,15053.0
full_t2700,24289,0.019912740796147688,28.3737632529232,28.39367599371935,2,10004.0
full_t2700,24290,0.011658982611447044,30.794731936866743,30.80639091947819,3,16751.0
full_t2700,24291,-0.06081809548543404,30.358621904702694,30.29780380921726,4,12136.0
full_t2700,24292,0.02165279704355072,37.41810484743453,37.43975764447808,5,16078.0
full_t2700,24293,0.014464224729110242,38.00782495482168,38.02228917955079,6,12787.0
full_t2700,24294,0.0035318736777369963,30.609150034576665,30.6126819082544,7,15121.0
full_t2700,24295,-0.04107184086855398,36.025376288893405,35.98430444802485,8,19165.0
full_t2700,24296,-0.01903345712088722,29.91434451967069,29.8953110625498,9,21348.0
full_t2700,24297,0.043720666821457144,28.88681521172621,28.930535878547666,10,24947.0
full_t2750,24286,-0.010900151003117031,28.334861191115174,28.323961040112057,11,17047.0
full_t2750,24287,0.012326193639299987,28.40229725628752,28.41462344992682,12,22377.0
full_t2750,24288,0.02582949936062562,49.72720245846659,49.75303195782722,1,15053.0
full_t2750,24289,-0.004549391982632045,28.3737632529232,28.36921386094057,2,10004.0
full_t2750,24290,0.015418223445738732,30.794731936866743,30.81015016031248,3,16751.0
full_t2750,24291,-0.06253675511559464,30.358621904702694,30.2960851495871,4,12136.0
full_t2750,24292,0.007607051435243761,37.41810484743453,37.42571189886977,5,16078.0
full_t2750,24293,0.007964593417852939,38.00782495482168,38.01578954823953,6,12787.0
full_t2750,24294,-0.00018440815305353908,30.609150034576665,30.60896562642361,7,15121.0
full_t2750,24295,-0.01841109177745892,36.025376288893405,36.006965197115946,8,19165.0
full_t2750,24296,-0.037721012077973626,29.91434451967069,29.876623507592715,9,21348.0
full_t2750,24297,-0.007150475089503061,28.88681521172621,28.879664736636705,10,24947.0
full_t2850,24286,-0.005070103439511087,28.334861191115174,28.329791087675662,11,17047.0
full_t2850,24287,0.02477122710700641,28.40229725628752,28.427068483394528,12,22377.0
full_t2850,24288,-0.003166265906592969,49.72720245846659,49.72403619256,1,15053.0
full_t2850,24289,-0.08881916787791155,28.3737632529232,28.28494408504529,2,10004.0
full_t2850,24290,0.029921393524244166,30.794731936866743,30.824653330390987,3,16751.0
full_t2850,24291,0.00492547443923641,30.358621904702694,30.36354737914193,4,12136.0
full_t2850,24292,-0.014769021084859446,37.41810484743453,37.40333582634967,5,16078.0
full_t2850,24293,-0.0038606921265866845,38.00782495482168,38.00396426269509,6,12787.0
full_t2850,24294,-0.005000209719145943,30.609150034576665,30.60414982485752,7,15121.0
full_t2850,24295,0.02866569618771564,36.025376288893405,36.05404198508112,8,19165.0
full_t2850,24296,0.012572021100702102,29.91434451967069,29.92691654077139,9,21348.0
full_t2850,24297,0.007900439277513271,28.88681521172621,28.89471565100372,10,24947.0
full_t2900,24286,0.013913487004458602,28.334861191115174,28.348774678119632,11,17047.0
full_t2900,24287,0.001993481948098008,28.40229725628752,28.40429073823562,12,22377.0
full_t2900,24288,0.005730462034534867,49.72720245846659,49.73293292050113,1,15053.0
full_t2900,24289,-0.11973661540051594,28.3737632529232,28.254026637522685,2,10004.0
full_t2900,24290,0.011503043038846528,30.794731936866743,30.80623497990559,3,16751.0
full_t2900,24291,-0.002263016771333781,30.358621904702694,30.35635888793136,4,12136.0
full_t2900,24292,0.011660509580721623,37.41810484743453,37.42976535701525,5,16078.0
full_t2900,24293,0.011628340096898171,38.00782495482168,38.01945329491858,6,12787.0
full_t2900,24294,-0.02726597477383308,30.609150034576665,30.58188405980283,7,15121.0
full_t2900,24295,0.016971209089092554,36.025376288893405,36.0423474979825,8,19165.0
full_t2900,24296,-0.009194882170195484,29.91434451967069,29.905149637500493,9,21348.0
full_t2900,24297,0.03172223683515796,28.88681521172621,28.918537448561366,10,24947.0
full_t2950,24286,-0.0034803866131127847,28.334861191115174,28.33138080450206,11,17047.0
full_t2950,24287,0.025529158169785404,28.40229725628752,28.427826414457307,12,22377.0
full_t2950,24288,-0.010524483746280566,49.72720245846659,49.71667797472031,1,15053.0
full_t2950,24289,-0.12735954540565686,28.3737632529232,28.246403707517544,2,10004.0
full_t2950,24290,0.0805882484798559,30.794731936866743,30.8753201853466,3,16751.0
full_t2950,24291,-0.011300135706253656,30.358621904702694,30.34732176899644,4,12136.0
full_t2950,24292,-0.025200262611953406,37.41810484743453,37.392904584822574,5,16078.0
full_t2950,24293,-0.023341668166729335,38.00782495482168,37.98448328665495,6,12787.0
full_t2950,24294,-0.029536620596353202,30.609150034576665,30.57961341398031,7,15121.0
full_t2950,24295,0.008186979472156963,36.025376288893405,36.03356326836556,8,19165.0
full_t2950,24296,-0.027464139630666295,29.91434451967069,29.886880380040022,9,21348.0
full_t2950,24297,0.012497895511483392,28.88681521172621,28.899313107237692,10,24947.0
full_t3000,24286,-0.024856530878537342,28.334861191115174,28.310004660236636,11,17047.0
full_t3000,24287,0.021184648319838573,28.40229725628752,28.42348190460736,12,22377.0
full_t3000,24288,-0.20907030534718984,49.72720245846659,49.5181321531194,1,15053.0
full_t3000,24289,-0.18979131396627125,28.3737632529232,28.18397193895693,2,10004.0
full_t3000,24290,0.07083728900145658,30.794731936866743,30.8655692258682,3,16751.0
full_t3000,24291,-0.07469083256649611,30.358621904702694,30.2839310721362,4,12136.0
full_t3000,24292,-0.022502163516989526,37.41810484743453,37.39560268391754,5,16078.0
full_t3000,24293,0.1368589429478746,38.00782495482168,38.14468389776955,6,12787.0
