time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean
24286,2023,11,184,17047.0,,26.752584383208465,,47.09095846697547,24.785397064160584,48.1449079596433,,
24287,2023,12,184,22377.0,,25.414015393039435,,50.31478718183359,30.90703382880671,115.79067663606604,,
24288,2024,1,176,15053.0,,32.3609189754735,,64.94665033708719,27.677779166920605,67.25076973820187,,
24289,2024,2,176,10004.0,,27.34217041935672,,77.08908075357553,15.54153823154799,30.587979467809262,,
24290,2024,3,176,16751.0,,26.92163939478735,,53.425686487624525,25.622976221709255,51.55676357411873,,
24291,2024,4,176,12136.0,,30.853684795452928,,62.55235799023669,21.275018106682772,37.69609456289876,,
24292,2024,5,176,16078.0,,29.922793942254632,,86.26539471410614,27.335152329748293,48.67703069096771,,
24293,2024,6,176,12787.0,,24.85219512717301,,50.45283153768902,18.055966993815982,27.68851314597642,,
24294,2024,7,176,15121.0,,19.15799123211129,,43.93339433121245,16.45954462617925,26.591234859667942,,
24295,2024,8,176,19165.0,,23.694191544789128,,42.34854833039214,25.801089827038844,42.7356039301795,,
24296,2024,9,176,21348.0,,20.665792870248694,,43.06948307868584,25.06666739739029,45.03383447337762,,
24297,2024,10,176,24947.0,,14.710057047065783,,32.97213972333354,20.850670065519893,37.95252431983053,,
