time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse
24286,2023,11,184,17047.0,28.344416120752243,71.20659615921758,26.26017726143823,47.38999578113022
24287,2023,12,184,22377.0,30.175439418452743,74.0982284905979,36.69759825362593,130.37672849458124
24288,2024,1,176,15053.0,45.82722844265065,93.04722258981676,39.19529941745569,75.02265437059077
24289,2024,2,176,10004.0,31.910948259421346,25.89157744002042,18.138473090184725,29.997560193107027
24290,2024,3,176,16751.0,30.58733509314363,28.233821948772224,29.111843758252782,57.843774358326556
24291,2024,4,176,12136.0,29.861680345484327,31.353276638138766,20.590985947318053,37.555913516547086
24292,2024,5,176,16078.0,36.71334226955157,84.49745092529962,33.538472557377844,57.67479157585846
24293,2024,6,176,12787.0,35.21727077704356,85.4154875512783,25.586547808298633,38.110135281124634
24294,2024,7,176,15121.0,29.87271978939352,78.56880437765305,25.665079314512468,42.3834883424373
24295,2024,8,176,19165.0,38.104512382964806,88.48398162888923,41.49278294429094,65.28067675141705
24296,2024,9,176,21348.0,30.53216142637178,79.6385632294677,37.034123984669584,67.3132762062737
24297,2024,10,176,24947.0,28.200110673611544,82.46133904430536,39.97205460082882,69.02903722770063
