time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_wmean,wmape_p90,wmape_std,wmape_mean,wmape_p50,n_folds,wmape_p10
,,1,,,,,,,,,,,46.74243728069026,46.74243728069026,0.0,46.74243728069026,46.74243728069026,1,46.74243728069026
,,2,,,,,,,,,,,41.4161020377943,53.02961320610409,15.806049321127487,44.08836147911347,44.08836147911347,2,35.14710975212286
,,3,,,,,,,,,,,33.77318761509278,35.16134931678738,2.6272129894812504,33.675173220400524,33.675173220400524,2,32.18899712401366
,,4,,,,,,,,,,,32.073262451216294,35.74345403453298,5.963800897068859,32.369818789761936,32.369818789761936,2,28.996183544990892
,,5,,,,,,,,,,,29.14514940664437,30.547275817490284,2.5892850505685145,29.082555003344726,29.082555003344726,2,27.61783418919917
,,6,,,,,,,,,,,38.01624271015842,38.158413227238086,0.23808152927417595,38.02373397617806,38.02373397617806,2,37.88905472511803
,,7,,,,,,,,,,,25.609557139028965,25.992047647321606,0.6656146386672842,25.615519147594668,25.615519147594668,2,25.23899064786773
,,8,,,,,,,,,,,30.24430293669396,33.71890469160312,7.16117097995108,29.667934642675345,29.667934642675345,2,25.616964593747568
,,9,,,,,,,,,,,29.9645237500351,30.233028826176902,0.39630007569742143,30.008847649448594,30.008847649448594,2,29.784666472720286
,,10,,,,,,,,,,,23.202421643783183,24.766507185202133,2.2737575103491507,23.480275701728754,23.480275701728754,2,22.194044218255375
,,11,,,,,,,,,,,34.68012486118413,34.68012486118413,0.0,34.68012486118413,34.68012486118413,1,34.68012486118413
,,12,,,,,,,,,,,32.97012751195249,32.97012751195249,0.0,32.97012751195249,32.97012751195249,1,32.97012751195249
