time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean
24286,2023,11,184,17047.0,,28.310004660236633,,68.7683645911008,26.228296165383362,47.04240097426104,,
24287,2023,12,184,22377.0,,28.42348190460736,,75.62134387877472,34.566970357576025,128.6327120273457,,
24288,2024,1,176,15053.0,,49.518132153119396,,94.37101555602062,42.35207064209695,79.7515731420643,,
24289,2024,2,176,10004.0,,28.18397193895693,,24.10803865177642,16.020025868029837,27.32405417323849,,
24290,2024,3,176,16751.0,,30.8655692258682,,34.972479191204435,29.376656255824898,56.74960427616602,,
24291,2024,4,176,12136.0,,30.2839310721362,,31.661631763517217,20.882147016559372,39.0298355202935,,
24292,2024,5,176,16078.0,,37.39560268391754,,85.21038546986959,34.161732951819666,58.36898248498993,,
24293,2024,6,176,12787.0,,38.14468389776955,,83.17277610977307,27.71341323868064,40.48493737782315,,
24294,2024,7,176,15121.0,,30.578789055082762,,78.86096196683113,26.271697119426502,42.980729531032146,,
24295,2024,8,176,19165.0,,36.02677747949372,,85.00989759476482,39.23029490877824,62.56513166733752,,
24296,2024,9,176,21348.0,,29.88083201214282,,79.02298162095728,36.24409101109233,67.97204975600468,,
24297,2024,10,176,24947.0,,28.867459322314698,,82.23457448294731,40.91798339282868,72.74082925862896,,
