time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse
24286,2023,11,184,17047.0,27.79309328008071,74.4674448434769,25.749394627474775,45.76551472065761
24287,2023,12,184,22377.0,30.026534029588316,74.51035063339936,36.51650825978792,137.63359419610373
24288,2024,1,176,15053.0,45.80373365928708,94.94878000906529,39.17520470302548,75.30497221549425
24289,2024,2,176,10004.0,33.06876088337275,25.90110162429673,18.796584311208008,33.02823158256434
24290,2024,3,176,16751.0,30.75914678123364,34.605474138303535,29.275367484797993,60.124404846408055
24291,2024,4,176,12136.0,30.96128166653148,33.70690519106322,21.3492110400583,40.50026581242601
24292,2024,5,176,16078.0,36.786522229357196,84.7288213105599,33.60532411384119,56.690965579036785
24293,2024,6,176,12787.0,37.7631569169271,88.91996482790981,27.43622088049698,42.02085763749443
24294,2024,7,176,15121.0,31.313101913131007,80.73386846752577,26.90258034252579,43.25011539437824
24295,2024,8,176,19165.0,34.893362353017274,85.2247043506594,37.99609599406683,60.828220798795655
24296,2024,9,176,21348.0,27.44206140888929,76.70654767477508,33.285973122555035,61.29644996036044
24297,2024,10,176,24947.0,28.960486756229407,82.87656640183698,41.049844494753124,75.75910176520058
