time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean
24277,2023,2,184,16291.0,,33.94128624872347,,71.75915820931627,30.050950775975767,40.0354305068169,,
24278,2023,3,184,15072.0,,32.332354341089854,,66.91202731254432,26.484415468962297,41.80383970802429,,
24279,2023,4,184,13972.0,,28.890894492034956,,68.63289004703269,21.93823792623437,28.265379332168386,,
24280,2023,5,184,15015.0,,28.193399478227665,,69.3781905885671,23.00673332421676,31.753066223873013,,
24281,2023,6,184,13978.0,,38.251678918731244,,73.68611893489717,29.058802604675293,36.50939694726873,,
24282,2023,7,184,15509.0,,25.607448700618235,,67.61842645647957,21.584017494450446,26.50403904105189,,
24283,2023,8,184,15248.0,,25.01720554055597,,65.75149472956076,20.73164946099986,28.93927441420081,,
24284,2023,9,184,15517.0,,30.907358751089873,,73.24171142351828,26.06464596416639,37.35070906815794,,
24285,2023,10,184,17595.0,,25.348128275154462,,69.39314177252149,24.239147663116455,34.334786578857226,,
24286,2023,11,184,17047.0,,34.86543573605642,,74.31442966051613,32.30168929307357,53.195263188223144,,
24287,2023,12,184,22377.0,,33.2852516373771,,71.25337618723442,40.4795693418254,129.8647062847039,,
24288,2024,1,176,15053.0,,46.87187425687782,,90.44395185724049,40.08876836299896,74.18565158814552,,
24289,2024,2,176,10004.0,,56.021591855353805,,97.36064234771706,31.84318209778179,43.885617668167434,,
24290,2024,3,176,16751.0,,35.94468915920088,,89.58001612858862,34.210766369646244,53.11923288171018,,
24291,2024,4,176,12136.0,,37.32477927097931,,90.81065862050977,25.737131888216194,33.084618256097485,,
24292,2024,5,176,16078.0,,31.71881402750368,,58.43966280859365,28.975857496261597,47.26381701897499,,
24293,2024,6,176,12787.0,,38.70774487851698,,66.8131452552845,28.122496236454356,38.734204206696184,,
24294,2024,7,176,15121.0,,27.101696345645454,,58.97900453020619,23.28436082059687,30.17637738012784,,
24295,2024,8,176,19165.0,,35.22707920487481,,61.34966811697758,38.35948710008101,56.40465243013229,,
24296,2024,9,176,21348.0,,29.88445606485431,,59.923934634825635,36.24848682230169,56.315487726783594,,
24297,2024,10,176,24947.0,,22.14581412380624,,49.1886252725301,31.390433235601947,53.01146597112382,,
