time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,wmape_p90,wmape_mean,wmape_p50,wmape_p10,wmape_std,n_folds,wmape_wmean
,,1,,,,,,,,,,,46.53994531668849,46.53994531668849,46.53994531668849,46.53994531668849,0.0,1,46.53994531668849
,,2,,,,,,,,,,,47.44558052960635,40.985998408750916,40.985998408750916,34.52641628789547,11.419035803220654,2,39.055432103663534
,,3,,,,,,,,,,,35.05474623024991,33.76277471399102,33.76277471399102,32.47080319773214,2.28390455061631,2,33.84798117534754
,,4,,,,,,,,,,,35.188986956589574,31.963123274598196,31.963123274598196,28.73725959260682,5.702575211798774,2,31.67955666091005
,,5,,,,,,,,,,,30.313555740182956,28.56058485664471,28.56058485664471,26.807613973106466,3.098843997431167,2,28.6354975399336
,,6,,,,,,,,,,,37.41920800044747,37.40620809363999,37.40620809363999,37.39320818683251,0.02298080564590485,2,37.40548499962693
,,7,,,,,,,,,,,25.685514869575485,25.01537933556012,25.01537933556012,24.345243801544754,1.1846434510408355,2,25.004768309311427
,,8,,,,,,,,,,,33.290912329974816,29.189251220578946,29.189251220578946,25.087590111183076,7.250780961457395,2,29.77283179207459
,,9,,,,,,,,,,,29.527192623714047,29.179062950389024,29.179062950389024,28.830933277064,0.6154121318509588,2,29.110232619276918
,,10,,,,,,,,,,,24.467564266115566,23.136122105930717,23.136122105930717,21.804679945745868,2.3536794505609313,2,22.848501555601658
,,11,,,,,,,,,,,34.521693515380385,34.521693515380385,34.521693515380385,34.521693515380385,0.0,1,34.521693515380385
,,12,,,,,,,,,,,32.99599768686386,32.99599768686386,32.99599768686386,32.99599768686386,0.0,1,32.99599768686386
