time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse
24286,2023,11,184,17047.0,28.7579709330681,67.25265734189719,26.643322309565864,49.858150347989934
24287,2023,12,184,22377.0,30.55276703884199,77.59646953146553,37.15648195805257,134.03220218355625
24288,2024,1,176,15053.0,44.4363302604296,92.69861135473818,38.00568633012766,73.08802382635406
24289,2024,2,176,10004.0,31.14999558598473,25.19588012407884,17.705940672851774,30.90862199207045
24290,2024,3,176,16751.0,30.445388313750634,54.96027037810421,28.97674429793391,56.94213041053433
24291,2024,4,176,12136.0,31.293466796871485,31.13519668203613,21.578267786751837,39.437946379123225
24292,2024,5,176,16078.0,37.210605940540134,85.32333258426287,33.99273422227297,58.44096114005589
24293,2024,6,176,12787.0,39.61021966524906,92.94534008806082,28.778174935201125,43.38502876876667
24294,2024,7,176,15121.0,31.636583636747833,79.09418255354727,27.180498930185454,44.743229643927656
24295,2024,8,176,19165.0,36.05957653827546,85.56498628350866,39.26601047477552,63.08502830997256
24296,2024,9,176,21348.0,30.745873318762552,78.32349551657526,37.29334679596266,68.89535413080513
24297,2024,10,176,24947.0,28.115179339674395,82.3889380113225,39.85166926061689,70.67251043025884
