time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse
24286,2023,11,184,17047.0,27.49006182018609,72.15077360847083,25.46864586134306,45.62557864392535
24287,2023,12,184,22377.0,29.95420127251108,76.65427259705766,36.42854140624894,129.92427644200617
24288,2024,1,176,15053.0,45.34726489418836,93.10078446842198,38.78479423023963,77.38893618564559
24289,2024,2,176,10004.0,32.476177038890775,26.68629877450793,18.459754266878598,32.54042500913912
24290,2024,3,176,16751.0,31.94129471612421,36.7862230317746,30.400490215329356,61.30807243574755
24291,2024,4,176,12136.0,30.935514933101178,31.64443894433266,21.33144370614295,39.92922945905546
24292,2024,5,176,16078.0,37.10150912876733,85.35555417552213,33.89307180524552,57.555238148458585
24293,2024,6,176,12787.0,40.20011976805035,83.8234735613564,29.20675747011704,43.25565498921607
24294,2024,7,176,15121.0,30.306756605363304,78.53131422988724,26.0379810585056,42.807503131250186
24295,2024,8,176,19165.0,35.55449988204543,85.64863699913592,38.716022172693215,61.83337042147963
24296,2024,9,176,21348.0,29.783921138381857,78.95225516676511,36.12654252625999,67.07354703166493
24297,2024,10,176,24947.0,29.04805952553435,84.17993928898798,41.17397391951735,74.43811951350597
