time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse
24286,2023,11,184,17047.0,25.268091824939283,69.21897572750655,23.410063116290214,42.85247024692906
24287,2023,12,184,22377.0,28.617179777186045,73.70939908107735,34.802534340983264,123.7257483307287
24288,2024,1,176,15053.0,46.38662121689161,93.73954715848333,39.67373915783349,67.41410812927889
24289,2024,2,176,10004.0,30.711476284950507,26.538275205049842,17.456682315604823,31.37736554499715
24290,2024,3,176,16751.0,28.154996629828904,28.16222008652065,26.79683798558318,50.257473476872605
24291,2024,4,176,12136.0,31.377893647089273,31.195560468121812,21.636483937561103,41.48198594870048
24292,2024,5,176,16078.0,36.0646405858094,85.89372809695107,32.94586882605929,56.68704297748283
24293,2024,6,176,12787.0,38.61463474916281,90.14594433190041,28.054848553269597,42.22730285079204
24294,2024,7,176,15121.0,30.470571710904533,79.75324922971573,26.178722434124282,42.79647834125523
24295,2024,8,176,19165.0,38.19322031349472,88.51072817887888,41.58937882432536,65.53438034150905
24296,2024,9,176,21348.0,28.796905531355353,80.57315949848962,34.92933745928262,64.3489454943045
24297,2024,10,176,24947.0,27.21760474888176,83.41158422047184,38.57940827672462,65.0759273818955
