experiment,time_key,delta_wmape,wmape_base,wmape_exp,month,sum_abs_y
full_t2000,24277,0.05055740681458332,33.30934550410791,33.35990291092249,2,16291.0
full_t2000,24278,0.05622975638971184,32.11653236370937,32.17276212009908,3,15072.0
full_t2000,24279,0.020020553453445444,28.26100906942145,28.281029622874897,4,13972.0
full_t2000,24280,-0.030454876341106996,27.084842164874512,27.054387288533405,5,15015.0
full_t2000,24281,-0.18236608119084963,37.96747699966245,37.7851109184716,6,13978.0
full_t2000,24282,-0.24460425989656187,25.058804644292508,24.814200384395946,7,15509.0
full_t2000,24283,0.08154427017020183,24.57728975091876,24.65883402108896,8,15248.0
full_t2000,24284,-0.011613512343409127,30.12401472395164,30.11240121160823,9,15517.0
full_t2000,24285,-0.02956778463161669,24.94389822619244,24.914330441560825,10,17595.0
full_t2000,24286,-0.16633170982634482,34.71133278606015,34.5450010762338,11,17047.0
full_t2000,24287,0.04102751488136391,33.122178008783635,33.163205523665,12,22377.0
full_t2000,24288,-0.4538994821244202,47.10655175656771,46.65265227444329,1,15053.0
full_t2000,24289,-0.626738364102593,53.85643170862758,53.22969334452499,2,10004.0
full_t2000,24290,-0.015342149454951937,35.43337274897198,35.41803059951703,3,16751.0
full_t2000,24291,-0.2396469455686372,36.34300786724355,36.10336092167491,4,12136.0
full_t2000,24292,0.020938151540235594,30.824448063178124,30.84538621471836,5,16078.0
full_t2000,24293,-0.3411082187735204,38.12527309378047,37.78416487500695,6,12787.0
full_t2000,24294,-0.2309229550368883,26.115178926290167,25.88425597125328,7,15121.0
full_t2000,24295,-0.17944779807831424,34.761728186723055,34.58228038864474,8,19165.0
full_t2000,24296,0.012867643253763106,29.43879823146832,29.45166587472208,9,21348.0
full_t2000,24297,-0.014772108190165056,22.09134352070041,22.076571412510244,10,24947.0
full_t2400,24277,-0.0780872698317836,33.30934550410791,33.231258234276126,2,16291.0
full_t2400,24278,-0.16930857534874022,32.11653236370937,31.947223788360628,3,15072.0
full_t2400,24279,0.06657400275928893,28.26100906942145,28.32758307218074,4,13972.0
full_t2400,24280,-0.3823814303169115,27.084842164874512,26.7024607345576,5,15015.0
full_t2400,24281,-0.14905659387272152,37.96747699966245,37.81842040578973,6,13978.0
full_t2400,24282,-0.34564413825426854,25.058804644292508,24.71316050603824,7,15509.0
full_t2400,24283,0.009882612718744355,24.57728975091876,24.587172363637503,8,15248.0
full_t2400,24284,-0.2512588201051891,30.12401472395164,29.87275590384645,9,15517.0
full_t2400,24285,0.014686649514381145,24.94389822619244,24.958584875706823,10,17595.0
full_t2400,24286,-0.13404796289518117,34.71133278606015,34.577284823164966,11,17047.0
full_t2400,24287,-0.0074244932764671034,33.122178008783635,33.11475351550717,12,22377.0
full_t2400,24288,-0.36607139302054037,47.10655175656771,46.74048036354717,1,15053.0
full_t2400,24289,-0.8643031930599321,53.85643170862758,52.99212851556765,2,10004.0
full_t2400,24290,-0.10281358360995085,35.43337274897198,35.33055916536203,3,16751.0
full_t2400,24291,-0.2695767440997088,36.34300786724355,36.07343112314384,4,12136.0
full_t2400,24292,0.09941196453513257,30.824448063178124,30.923860027713257,5,16078.0
full_t2400,24293,-0.8211537709664611,38.12527309378047,37.30411932281401,6,12787.0
full_t2400,24294,-0.2435456901526578,26.115178926290167,25.87163323613751,7,15121.0
full_t2400,24295,-0.19016439038283295,34.761728186723055,34.57156379634022,8,19165.0
full_t2400,24296,-0.2294718738975483,29.43879823146832,29.20932635757077,9,21348.0
full_t2400,24297,-0.20423458253959836,22.09134352070041,21.88710893816081,10,24947.0
full_t2800,24277,-0.17716485809631877,33.30934550410791,33.13218064601159,2,16291.0
full_t2800,24278,-0.23467002907122847,32.11653236370937,31.88186233463814,3,15072.0
full_t2800,24279,0.20058498388029022,28.26100906942145,28.46159405330174,4,13972.0
full_t2800,24280,-0.3668634755747213,27.084842164874512,26.71797868929979,5,15015.0
full_t2800,24281,-0.30622558713829306,37.96747699966245,37.66125141252416,6,13978.0
full_t2800,24282,-0.5839596819128943,25.058804644292508,24.474844962379613,7,15509.0
full_t2800,24283,-0.1519738126776744,24.57728975091876,24.425315938241084,8,15248.0
full_t2800,24284,-0.18723785258787018,30.12401472395164,29.93677687136377,9,15517.0
full_t2800,24285,-0.00481877892015703,24.94389822619244,24.939079447272285,10,17595.0
full_t2800,24286,-0.2754929185004542,34.71133278606015,34.43583986755969,11,17047.0
full_t2800,24287,0.07128383303879104,33.122178008783635,33.193461841822426,12,22377.0
full_t2800,24288,-0.335210091741601,47.10655175656771,46.77134166482611,1,15053.0
full_t2800,24289,-3.3756519021724785,53.85643170862758,50.480779806455104,2,10004.0
full_t2800,24290,-0.03538689081877777,35.43337274897198,35.397985858153206,3,16751.0
full_t2800,24291,-0.567759442816616,36.34300786724355,35.775248424426934,4,12136.0
full_t2800,24292,-0.023860637191699396,30.824448063178124,30.800587425986425,5,16078.0
full_t2800,24293,-1.205462116179703,38.12527309378047,36.91981097760077,6,12787.0
full_t2800,24294,-0.21795617565182823,26.115178926290167,25.89722275063834,7,15121.0
full_t2800,24295,-0.32942538282561173,34.761728186723055,34.43230280389744,8,19165.0
full_t2800,24296,-0.5573706388339481,29.43879823146832,28.88142759263437,9,21348.0
full_t2800,24297,-0.4571370458815096,22.09134352070041,21.6342064748189,10,24947.0
