protocol,fold,time_key,year,month,dealer_code,n_test,sum_abs_y,wmape,smape,mae,rmse,y_true,y_pred
random_cv,,24264,2022,1,,184,16945.0,43.333631316395476,74.30345971298586,39.90697731827834,70.33627201919721,,
random_cv,,24265,2022,2,,184,15865.0,29.35563442414554,66.47977431542127,25.311257616253748,43.66892694458804,,
random_cv,,24266,2022,3,,184,18493.0,26.10589467725248,68.98800512223386,26.237842949262507,43.42527248692392,,
random_cv,,24267,2022,4,,184,13092.0,36.456494563785256,65.33567261375993,25.939588414623728,45.44165224332255,,
random_cv,,24268,2022,5,,184,15766.0,27.948662661275332,63.59101685703364,23.94775084335146,43.530586717798386,,
random_cv,,24269,2022,6,,184,20356.0,30.813610882307852,71.66533912733874,34.0892316913184,60.45962636489318,,
random_cv,,24270,2022,7,,184,18322.0,24.283291921722487,65.84339791561592,24.1803518798804,40.18159498486438,,
random_cv,,24271,2022,8,,184,16584.0,22.67490453379262,61.287414397682674,20.43699004284874,32.649142888291266,,
random_cv,,24272,2022,9,,184,15233.0,25.063043143820813,57.88088391033577,20.749203054881654,35.25990996746,,
random_cv,,24273,2022,10,,184,17718.0,27.92432291697881,64.58379549181971,26.88930181755601,52.33668247707584,,
random_cv,,24274,2022,11,,184,13306.0,39.6674339942145,64.8936030860007,28.685591126468374,55.63337895118403,,
random_cv,,24275,2022,12,,184,17361.0,29.24448924055002,66.27810386074876,27.593129223108093,64.11850305035783,,
random_cv,,24276,2023,1,,184,8550.0,42.319434241227604,64.41653852764328,19.66473710665739,32.34315456111352,,
random_cv,,24277,2023,2,,184,16291.0,25.002309640663494,65.55272702039005,22.136555780220053,36.81035353141301,,
random_cv,,24278,2023,3,,184,15072.0,20.807620505155324,56.88968621996749,17.044155231179406,29.709086213001928,,
random_cv,,24279,2023,4,,184,13972.0,20.90184956264835,53.75520997424811,15.871774026593629,28.805718674382604,,
random_cv,,24280,2023,5,,184,15015.0,22.31360626985991,58.86993048342723,18.208630333801445,31.390321837578544,,
random_cv,,24281,2023,6,,184,13978.0,21.843658559355568,58.086185713177485,16.594057572971312,34.17954876142937,,
random_cv,,24282,2023,7,,184,15509.0,22.027111572627636,62.553617643897454,18.566221379341414,35.0317386252107,,
random_cv,,24283,2023,8,,184,15248.0,21.62857597764108,66.68530692076733,17.9235068753843,34.990171753422814,,
random_cv,,24284,2023,9,,184,15517.0,22.67975507709904,66.8881776070682,19.126182583225315,40.68026277530709,,
random_cv,,24285,2023,10,,184,17595.0,22.320036707785228,73.10984115061343,21.343535101819622,37.43774058715783,,
random_cv,,24286,2023,11,,184,17047.0,19.844633989942505,65.9509777818911,18.385406284051623,31.51048023557596,,
random_cv,,24287,2023,12,,184,22377.0,27.55743836836981,77.48101501902617,33.51373904179409,115.52964322892177,,
random_cv,,24288,2024,1,,176,15053.0,31.02995937020947,92.8064080612707,26.539430590895634,56.38883630149864,,
random_cv,,24289,2024,2,,176,10004.0,26.166662142934577,86.9397964220407,14.873368640790767,24.480069686925717,,
random_cv,,24290,2024,3,,176,16751.0,24.479051646459375,91.38720802815695,23.298215575559144,44.20424879232655,,
random_cv,,24291,2024,4,,176,12136.0,26.036542286842263,89.27920038246523,17.953379385972596,28.834977134942775,,
random_cv,,24292,2024,5,,176,16078.0,29.042954955042493,75.25827443944958,26.531399418589388,43.7771467935449,,
random_cv,,24293,2024,6,,176,12787.0,30.25936879507951,73.22376479049456,21.984462999016003,33.66632415882688,,
random_cv,,24294,2024,7,,176,15121.0,26.326666417435646,67.80523588832406,22.618495619207067,40.061218521106305,,
random_cv,,24295,2024,8,,176,19165.0,32.624545920105774,79.9090187542041,35.525535372660634,58.03845980746408,,
random_cv,,24296,2024,9,,176,21348.0,25.948921916925904,77.93457888112427,31.474862788780353,57.075920283666484,,
random_cv,,24297,2024,10,,176,24947.0,27.6607649232177,84.35863304727317,39.20756264429045,65.42457798581931,,
