protocol,fold,time_key,year,month,dealer_code,n_test,sum_abs_y,wmape,smape,mae,rmse,y_true,y_pred,wmape_p50,wmape_p10,wmape_std,wmape_wmean,wmape_mean,n_groups,wmape_p90
,,,,1,,,,,,,,,,42.319434241227604,33.2878543444131,6.829606893640776,38.552173320967256,38.89434164261085,3,43.1307919013619
,,,,2,,,,,,,,,,26.166662142934577,25.235180141117713,2.253763431476182,26.916770744142205,26.841535402581204,3,28.717839967903345
,,,,3,,,,,,,,,,24.479051646459375,21.541906733416138,2.7140908261297207,23.97721123797544,23.797522276289058,3,25.780526071093856
,,,,4,,,,,,,,,,26.036542286842263,21.928788107487133,7.925564711079506,27.686442502844823,27.798295471091958,3,34.372504108396654
,,,,5,,,,,,,,,,27.948662661275332,23.440617548142995,3.610989473939208,26.518492571902655,26.43507462872591,3,28.824096496289062
,,,,6,,,,,,,,,,30.25936879507951,23.526800606500355,5.0264534836363675,28.00235714958538,27.638879412247643,3,30.702762464862186
,,,,7,,,,,,,,,,24.283291921722487,22.478347642446607,2.1506549762372704,24.19967459690566,24.212356637261923,3,25.917991518293015
,,,,8,,,,,,,,,,22.67490453379262,21.83784168887139,6.069068052280085,26.10119351833079,25.642675477179825,3,30.634617642843143
,,,,9,,,,,,,,,,25.063043143820813,23.156412690443393,1.6907737398520721,24.716201789391192,24.563906712615253,3,25.771746162304886
,,,,10,,,,,,,,,,27.6607649232177,23.388182350871723,3.1623004443429386,26.178846695254293,25.968374849327247,3,27.871611318226588
,,,,11,,,,,,,,,,29.7560339920785,21.826913990369704,14.01683630512545,28.534456309213848,29.7560339920785,2,37.6851539937873
,,,,12,,,,,,,,,,28.400963804459913,27.72614345558783,1.192925111925307,28.294488300221452,28.400963804459913,2,29.075784153332
