protocol,fold,time_key,year,month,dealer_code,n_test,sum_abs_y,wmape,smape,mae,rmse,y_true,y_pred,n_unique_months_in_test
random_cv,1,,,,,1236,109925.0,26.079204933440923,68.04850926795118,23.1938236432726,39.246066855580494,,,34
random_cv,2,,,,,1235,110946.0,29.567057967611536,73.2752008374293,26.561512658094166,62.30065236463301,,,34
random_cv,3,,,,,1235,111740.0,27.159472607568734,70.9531381337835,24.57327505400591,50.166762563209076,,,34
random_cv,4,,,,,1235,108667.0,26.26205502259884,67.74690665820587,23.107843993042493,42.43370212355877,,,34
random_cv,5,,,,,1235,107324.0,26.90505133764524,69.2481038783927,23.38103424908047,42.50680260579186,,,34
