time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean
24286,2023,11,184,17047.0,,28.44950181050152,,49.635435433789056,26.357535726283665,48.93244726296606,,
24287,2023,12,184,22377.0,,27.166817807825826,,56.433401547351316,33.03868924378905,122.0038435408355,,
24288,2024,1,176,15053.0,,33.11174685744207,,92.2954642832503,28.31995030937929,65.30969010972784,,
24289,2024,2,176,10004.0,,28.030175684924387,,50.679776782727515,15.932606679089975,30.210120411547383,,
24290,2024,3,176,16751.0,,27.4388870117772,,43.1767552848622,26.115272518993176,52.03448118021332,,
24291,2024,4,176,12136.0,,36.457581001319056,,64.22792314945308,25.139159263182275,45.16712817665464,,
24292,2024,5,176,16078.0,,29.65798544110888,,77.96431790432163,27.093243745576626,47.95941028415848,,
24293,2024,6,176,12787.0,,32.63984780017605,,54.307400805675556,23.713962148912,37.54798796962493,,
24294,2024,7,176,15121.0,,22.32230189180236,,44.30293754216791,19.1781549378377,30.052488989043887,,
24295,2024,8,176,19165.0,,23.542265687871495,,44.9736936437106,25.63565465386689,43.15831677288064,,
24296,2024,9,176,21348.0,,19.896132040145936,,45.99200441688707,24.133103795058833,44.41089432142441,,
24297,2024,10,176,24947.0,,16.098901939662273,,36.758920409970465,22.819278789133794,43.30541546903892,,
