time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse
24286,2023,11,184,17047.0,27.996401240158598,67.73219449506179,25.937752822879542,49.16494134851259
24287,2023,12,184,22377.0,32.26456735677971,71.82133757961317,39.23827302949237,137.65686734103417
24288,2024,1,176,15053.0,50.23758667658454,98.7297190489036,42.96740865014927,79.77011514987744
24289,2024,2,176,10004.0,30.066544297530807,26.026450560377608,17.090097110937396,28.676984443195597
24290,2024,3,176,16751.0,31.644362933750564,41.85253871685077,30.11788201723044,55.80268234998106
24291,2024,4,176,12136.0,30.165923437910408,35.8922741732009,20.800775388777314,38.011529949069995
24292,2024,5,176,16078.0,36.252993323694795,84.3787614883412,33.11793333286164,58.69087100205929
24293,2024,6,176,12787.0,35.67662257712909,82.94016282285035,25.920282550781227,39.03618218885411
24294,2024,7,176,15121.0,28.62890081743661,78.93518984571392,24.596455071616983,41.51706287401897
24295,2024,8,176,19165.0,36.78046311244113,84.63085906429782,40.05099861079172,63.954911293583145
24296,2024,9,176,21348.0,30.33364440552392,76.130598171212,36.79333186188208,67.61851487421718
24297,2024,10,176,24947.0,27.830753219898348,80.9596746782351,39.448511396409316,69.17838851661102
