time_key,year,month,n_test,sum_abs_y,wmape_base,wmape,wmape_gain,smape,mae,rmse,corr_log_mean_abs,corr_log_mean,n_folds,wmape_std,wmape_p90,wmape_wmean,wmape_p50,wmape_p10,wmape_mean
,,1,,,,,,,,,,,1,0.0,46.77134166482611,46.77134166482611,46.77134166482611,46.77134166482611,46.77134166482611
,,2,,,,,,,,,,,2,12.267312110436853,48.745919890410754,39.732499565999305,41.80648022623335,34.86704056205594,41.80648022623335
,,3,,,,,,,,,,,2,2.4862747869670403,35.0463735058017,33.73268045808347,33.639924096395674,32.233474686989645,33.639924096395674
,,4,,,,,,,,,,,2,5.1715346010772585,35.04388298731442,31.861261183988706,32.118421238864336,29.19295949041426,32.118421238864336
,,5,,,,,,,,,,,2,2.8868403226425627,30.392326552317762,28.829070680051657,28.75928305764311,27.126239562968454,28.75928305764311
,,6,,,,,,,,,,,2,0.5242775593802326,37.58710736903182,37.307027656074865,37.290531195062464,36.99395502109311,37.290531195062464
,,7,,,,,,,,,,,2,1.0057729794868677,25.754984971812465,25.17702499947593,25.186033856508978,24.617082741205486,25.186033856508978
,,8,,,,,,,,,,,2,7.076008271950321,33.4316041173318,29.998323327318,29.42880937106926,25.426014624806722,29.42880937106926
,,9,,,,,,,,,,,2,0.7462446315098894,29.831241943490834,29.325639033243192,29.40910223199907,28.986962520507312,29.40910223199907
,,10,,,,,,,,,,,2,2.3368980897819305,24.608592150026947,23.001073099573667,23.286642961045594,21.96469377206424,23.286642961045594
,,11,,,,,,,,,,,1,0.0,34.43583986755969,34.43583986755969,34.43583986755969,34.43583986755969,34.43583986755969
,,12,,,,,,,,,,,1,0.0,33.193461841822426,33.193461841822426,33.193461841822426,33.193461841822426,33.193461841822426
