time_key,year,month,n_test,sum_abs_y,wmape,smape,mae,rmse,wmape_mean,wmape_p10,n_folds,wmape_p90,wmape_p50,wmape_std
,,1,,,,,,,48.181883142176474,48.181883142176474,1,48.181883142176474,48.181883142176474,0.0
,,2,,,,,,,27.839900840576398,27.839900840576398,1,27.839900840576398,27.839900840576398,0.0
,,3,,,,,,,29.589400972662656,29.589400972662656,1,29.589400972662656,29.589400972662656,0.0
,,4,,,,,,,30.692090357708953,30.692090357708953,1,30.692090357708953,30.692090357708953,0.0
,,5,,,,,,,36.354135646652836,36.354135646652836,1,36.354135646652836,36.354135646652836,0.0
,,6,,,,,,,41.20683554003127,41.20683554003127,1,41.20683554003127,41.20683554003127,0.0
,,7,,,,,,,29.11449619430357,29.11449619430357,1,29.11449619430357,29.11449619430357,0.0
,,8,,,,,,,36.552304940362234,36.552304940362234,1,36.552304940362234,36.552304940362234,0.0
,,9,,,,,,,29.600768697403613,29.600768697403613,1,29.600768697403613,29.600768697403613,0.0
,,10,,,,,,,27.95975209519326,27.95975209519326,1,27.95975209519326,27.95975209519326,0.0
,,11,,,,,,,27.842612680613055,27.842612680613055,1,27.842612680613055,27.842612680613055,0.0
,,12,,,,,,,28.95255884024841,28.95255884024841,1,28.95255884024841,28.95255884024841,0.0
